sbjID,trialn,condition,response,expected,observed,RT
5,10,1,correct_rejection,1,1,293.44
5,11,0,hit,0,0,131.81
5,12,1,false_alarm,1,0,197.58
5,13,1,false_alarm,1,0,182.99
5,14,0,hit,0,0,261.47
5,15,1,correct_rejection,1,1,336.68
5,16,0,miss,0,1,163.91
5,17,0,hit,0,0,378.34
5,18,0,miss,0,1,229.59
5,19,1,false_alarm,1,0,283.83
5,20,0,hit,0,0,160.75
5,21,1,false_alarm,1,0,315.96
5,22,1,correct_rejection,1,1,114.23
5,23,1,correct_rejection,1,1,261.54
5,24,0,hit,0,0,223.17
5,25,0,hit,0,0,383.05
5,26,1,false_alarm,1,0,250.33
5,27,1,false_alarm,1,0,167.09
5,28,1,correct_rejection,1,1,357.51
5,29,0,hit,0,0,195.95
5,30,0,miss,0,1,180.01
5,31,1,false_alarm,1,0,256.69
5,32,1,false_alarm,1,0,226.35
5,33,1,false_alarm,1,0,191.04
5,34,0,hit,0,0,247.03
5,35,1,false_alarm,1,0,130.33
5,36,0,hit,0,0,211.98
5,37,0,hit,0,0,163.83
5,38,0,hit,0,0,162.31
5,39,0,hit,0,0,308.96
5,40,0,miss,0,1,291.84
6,1,1,false_alarm,1,0,440.19
6,2,1,false_alarm,1,0,127.87
6,3,1,false_alarm,1,0,360.5
6,4,1,correct_rejection,1,1,290.08
6,5,0,miss,0,1,317.47
6,6,0,hit,0,0,240.59
6,7,1,false_alarm,1,0,378.2
6,8,1,false_alarm,1,0,175.04
6,9,1,correct_rejection,1,1,112.58
6,10,1,correct_rejection,1,1,131.82
6,11,0,miss,0,1,218.28
6,12,0,hit,0,0,178.24
6,13,0,miss,0,1,231.03
6,14,0,miss,0,1,520.8
6,15,0,hit,0,0,232.77
6,16,1,correct_rejection,1,1,181.5
6,17,0,miss,0,1,272.61
6,18,1,false_alarm,1,0,98.36
6,19,0,hit,0,0,106.32
6,20,0,miss,0,1,90.39
6,21,0,hit,0,0,130.3
6,22,0,miss,0,1,197.46
6,23,1,false_alarm,1,0,162.4
6,24,0,hit,0,0,119.14
6,25,1,false_alarm,1,0,176.71
6,26,0,hit,0,0,284.05
6,27,0,miss,0,1,91.96
6,28,1,false_alarm,1,0,243.91
6,29,1,correct_rejection,1,1,208.76
6,30,0,miss,0,1,155.92
6,31,1,false_alarm,1,0,207.07
6,32,1,false_alarm,1,0,176.76
6,33,0,hit,0,0,229.53
6,34,0,miss,0,1,131.91
6,35,1,correct_rejection,1,1,229.53
6,36,0,miss,0,1,144.74
6,37,0,miss,0,1,299.87
6,38,1,false_alarm,1,0,267.99
6,39,1,false_alarm,1,0,63.11
6,40,1,correct_rejection,1,1,227.85
7,1,1,false_alarm,1,0,585.77
7,2,1,false_alarm,1,0,239.79
7,3,1,false_alarm,1,0,301.31
7,4,0,hit,0,0,568.65
7,5,0,hit,0,0,458.17
7,6,0,hit,0,0,621.45
7,7,0,hit,0,0,314.24
7,8,0,hit,0,0,515.83
7,9,1,false_alarm,1,0,346.34
7,10,1,correct_rejection,1,1,283.74
7,11,1,false_alarm,1,0,735.14
7,12,1,false_alarm,1,0,427.86
7,13,0,miss,0,1,490.29
7,14,1,false_alarm,1,0,781.42
7,15,1,false_alarm,1,0,552.67
7,16,1,correct_rejection,1,1,394.31
7,17,1,false_alarm,1,0,952.71
7,18,1,correct_rejection,1,1,376.74
7,19,1,correct_rejection,1,1,560.57
7,20,1,false_alarm,1,0,387.98
7,21,0,hit,0,0,976.69
7,22,0,miss,0,1,442.15
7,23,0,hit,0,0,1029.56
7,24,0,miss,0,1,1128.74
7,25,0,hit,0,0,202.28
7,26,0,hit,0,0,733.51
7,27,0,hit,0,0,197.46
7,28,0,miss,0,1,325.57
7,29,1,correct_rejection,1,1,475.89
7,30,1,false_alarm,1,0,891.91
7,31,0,miss,0,1,531.93
7,32,0,hit,0,0,237.55
7,33,0,hit,0,0,127.13
7,34,1,false_alarm,1,0,455.14
7,35,1,false_alarm,1,0,656.74
7,36,1,false_alarm,1,0,139.88
7,37,1,correct_rejection,1,1,426.3
7,38,0,hit,0,0,1331.88
7,39,0,hit,0,0,626.3
7,40,0,hit,0,0,391.15
8,1,1,false_alarm,1,0,1060.75
8,2,1,false_alarm,1,0,1066.94
8,3,1,false_alarm,1,0,984.52
8,4,0,miss,0,1,454.83
8,5,0,hit,0,0,662.95
8,6,0,hit,0,0,1242.18
8,7,0,miss,0,1,485.42
8,8,0,hit,0,0,861.25
8,9,1,false_alarm,1,0,855.06
8,10,0,miss,0,1,520.71
8,11,0,miss,0,1,992.59
8,12,0,miss,0,1,336.72
8,13,0,miss,0,1,269.51
8,14,1,correct_rejection,1,1,350.94
8,15,0,miss,0,1,227.85
8,16,1,false_alarm,1,0,239.08
8,17,1,correct_rejection,1,1,1216.72
8,18,1,false_alarm,1,0,658.25
8,19,0,hit,0,0,237.23
8,20,0,hit,0,0,933.55
8,21,0,miss,0,1,530.2
8,22,1,correct_rejection,1,1,461.49
8,23,0,hit,0,0,827.84
8,24,0,miss,0,1,515.91
8,25,1,false_alarm,1,0,429.53
8,26,1,false_alarm,1,0,570.29
8,27,1,false_alarm,1,0,759.11
8,28,0,miss,0,1,1362.33
8,29,1,false_alarm,1,0,714.32
8,30,1,correct_rejection,1,1,775.18
8,31,1,false_alarm,1,0,277.49
8,32,0,hit,0,0,218.27
8,33,0,hit,0,0,501.49
8,34,0,miss,0,1,175.08
8,35,0,miss,0,1,400.71
8,36,1,false_alarm,1,0,279.07
8,37,1,false_alarm,1,0,167.14
8,38,1,correct_rejection,1,1,879.14
8,39,1,false_alarm,1,0,301.53
8,40,1,correct_rejection,1,1,323.86
9,1,1,false_alarm,1,0,694.31
9,2,0,hit,0,0,183.78
9,3,1,false_alarm,1,0,712.5
9,4,0,miss,0,1,350.81
9,5,0,miss,0,1,430.96
9,6,1,false_alarm,1,0,298.34
9,7,0,hit,0,0,101.35
9,8,0,hit,0,0,672.58
9,9,0,miss,0,1,222.99
9,10,1,false_alarm,1,0,224.63
9,11,0,hit,0,0,333.45
9,12,1,correct_rejection,1,1,402.27
9,13,0,hit,0,0,283.85
9,14,1,correct_rejection,1,1,514.35
9,15,1,false_alarm,1,0,200.58
9,16,0,hit,0,0,434.34
9,17,1,false_alarm,1,0,293.53
9,18,1,correct_rejection,1,1,381.44
9,19,0,hit,0,0,459.93
9,20,1,correct_rejection,1,1,343.12
9,21,1,correct_rejection,1,1,341.49
9,22,1,false_alarm,1,0,106.31
9,23,0,hit,0,0,117.53
9,24,0,hit,0,0,237.52
9,25,0,miss,0,1,165.5
9,26,1,false_alarm,1,0,127.11
9,27,0,hit,0,0,234.34
9,28,0,hit,0,0,219.86
9,29,1,false_alarm,1,0,262.9
9,30,1,false_alarm,1,0,157.51
9,31,1,correct_rejection,1,1,160.74
9,32,1,false_alarm,1,0,160.7
9,33,1,false_alarm,1,0,309.52
9,34,1,correct_rejection,1,1,266.33
9,35,0,hit,0,0,160.72
9,36,1,false_alarm,1,0,277.49
9,37,0,hit,0,0,226.28
9,38,0,miss,0,1,219.88
9,39,0,miss,0,1,199.12
9,40,0,hit,0,0,125.53
10,1,0,miss,0,1,286.31
10,2,0,hit,0,0,203.01
10,3,0,hit,0,0,294.88
10,4,0,hit,0,0,318.75
10,5,0,hit,0,0,115.72
10,6,0,miss,0,1,322.13
10,7,0,hit,0,0,154.18
10,8,1,correct_rejection,1,1,150.93
10,9,1,correct_rejection,1,1,223.1
10,10,1,false_alarm,1,0,69.34
10,11,1,correct_rejection,1,1,371.98
10,12,1,false_alarm,1,0,141.51
10,13,0,hit,0,0,150.94
10,14,0,hit,0,0,87.04
10,15,0,miss,0,1,223.09
10,16,1,correct_rejection,1,1,567.11
10,17,1,false_alarm,1,0,74.38
10,18,1,correct_rejection,1,1,362.32
10,19,0,miss,0,1,122.28
10,20,1,false_alarm,1,0,103.13
10,21,1,false_alarm,1,0,167.15
10,22,1,false_alarm,1,0,375.15
10,23,1,false_alarm,1,0,165.42
10,24,1,false_alarm,1,0,247.16
10,25,0,hit,0,0,197.54
10,26,0,miss,0,1,202.33
10,27,0,hit,0,0,165.49
