sbjID,trialn,target,confound,target_side,response,RT
15,1,OmtlD,vuJZu,right,target,688.71
15,2,QONk,lGZv,right,target,466.47
15,3,kcdOt,kbmZO,right,target,231.96
15,4,BCD,YLU,left,confound,231.88
15,5,kcOY,cMRl,left,target,828.84
15,6,JNka,RCcE,left,target,177.56
15,7,lkAk,GZJY,left,target,225.66
15,8,uZc,YkZ,right,target,539.38
15,9,cuOJb,DkTCP,right,target,484.81
15,10,mBYl,BYhT,right,confound,342.35
15,11,OJNk,YUYa,right,target,160.26
15,12,kPkRA,COtBD,right,target,251.38
15,13,CmYA,hlkT,left,confound,213.01
15,14,Udumd,kRCkO,left,target,270.51
15,15,auYAk,cROMt,right,confound,228.99
15,16,Cdt,Ald,right,target,459.36
15,17,uQkrd,YJLcA,right,confound,185.69
15,18,hChY,YKRk,right,target,177.7
15,19,OAblc,CkBOP,left,target,192.12
15,20,hlbtb,YUNkZ,right,target,182.57
15,21,Glu,Nac,right,confound,526.57
15,22,vJQ,LaA,left,confound,225.83
15,23,OAmAd,kdEdY,right,target,179.28
15,24,LQur,GQrc,right,target,256.23
15,25,OdOP,tmYh,right,target,190.45
15,26,aUZA,DlDT,right,target,246.51
15,27,mrOd,AJLr,left,target,440.2
15,28,hbkd,kZUb,right,confound,195.41
15,29,mhc,OPE,left,confound,189.01
15,30,CRdBd,lbBDE,left,confound,366.63
