sbjID,trialn,word,condition,response,RT
4,1,COtBDuOAO,1,yes,940.78
4,2,mdlauvJ,0,yes,1303.88
4,3,RCcEcbm,1,yes,482.01
4,4,AZlLNPED,1,no,893.1
4,5,QcladuOAO,0,no,520.55
4,6,Ldrbvcbm,0,no,1261.23
4,7,JZOAkOtM,1,no,379.69
4,8,dKRDYDTk,0,yes,354.11
4,9,OLJblPMYm,1,yes,696.67
4,10,RdPtDYNu,1,yes,525.45
4,11,kCRmuOAO,1,yes,367.14
4,12,UdumdcMRl,1,no,424.55
4,13,PlEKYNu,1,yes,408.67
4,14,AMkCcMRl,0,yes,435.94
4,15,RCcEYDTk,0,yes,482.22
4,16,ZJLmrOtM,1,yes,288.72
4,17,COtBDPMYm,0,no,664.57
4,18,dClOCLUOk,1,yes,696.64
4,19,JZOAkYNu,0,yes,488.69
4,20,OLJbluOAO,0,yes,631.17
4,21,LdrbvYDTk,1,yes,560.67
4,22,aYaNcbm,0,no,187.91
4,23,kcCRtPED,0,no,359.14
4,24,ZJLmrYNu,0,yes,248.65
4,25,LvuOGcMRl,1,yes,640.6
4,26,DBlhuvJ,1,no,317.49
4,27,QcladPMYm,1,yes,311.1
4,28,kcCRtuvJ,1,yes,367.11
4,29,UdumdLUOk,0,no,298.27
4,30,AZlLNuvJ,0,yes,469.46
4,31,aYaNYDTk,1,no,311.07
4,32,dClOCcMRl,0,yes,410.3
4,33,mdlaPED,1,yes,586.24
4,34,kCRmPMYm,0,no,583.08
4,35,DBlhPED,0,no,517.52
4,36,AMkCLUOk,1,yes,245.47
4,37,RdPtDOtM,0,yes,467.9
4,38,LvuOGLUOk,0,yes,539.94
4,39,PlEKOtM,0,no,248.68
4,40,dKRDcbm,1,no,314.26
