sbjID,trialn,word,condition,response,RT
3,1,JmNkQONk,0,yes,3709.6
3,2,TklDravu,1,yes,1885.0
3,3,ukYZBRDh,1,yes,2628.6
3,4,bYGOZOPE,1,yes,1572.3
3,5,TdTDrGl,1,no,4086.5
3,6,RkmdCBRDh,0,no,1701.5
3,7,vkYGlrGl,0,no,3239.0
3,8,tRPDtRb,0,no,3254.4
3,9,adYrcPTl,1,yes,1045.9
3,10,ODBDArULv,1,no,1204.4
3,11,kMbTRPTl,0,yes,2869.3
3,12,KDPAQONk,1,yes,2325.8
3,13,tRPDravu,1,no,999.4
3,14,ODBDABRDh,0,no,1318.5
3,15,adYrcUZu,0,no,1575.1
3,16,AlUYKOYC,1,yes,1302.9
3,17,rkYLtRb,1,no,902.6
3,18,BdtACQONk,1,no,2774.9
3,19,RkmdCrULv,1,no,918.9
3,20,TklDtRb,0,yes,1110.9
3,21,kabJbUZu,0,no,2566.2
3,22,bYGOZQONk,0,no,3990.5
3,23,BdtACOPE,0,no,1495.7
3,24,McMDrGl,1,no,1111.7
3,25,KDPAOPE,0,no,1366.5
3,26,ukYZrULv,0,yes,1543.0
3,27,JdGmBRDh,1,yes,1319.3
3,28,dClOCUZu,1,no,1492.9
3,29,JmNkOPE,1,yes,1430.8
3,30,rkYLravu,0,no,3638.8
3,31,OdlNmtRb,1,no,854.7
3,32,JdGmrULv,0,no,935.0
3,33,kabJbPTl,1,yes,1031.7
3,34,TdTDKOYC,0,no,2038.2
3,35,OdlNmravu,0,no,1375.8
3,36,dClOCPTl,0,no,2071.8
3,37,AlUYrGl,0,no,1573.6
3,38,McMDKOYC,0,no,1894.8
3,39,kMbTRUZu,1,no,1862.7
3,40,vkYGlKOYC,1,yes,886.4
