sbjID,trialn,target,confound,target_side,response,RT
11,1,vUdm,bYuQ,right,target,690.63
11,2,TAdhM,YNrAm,right,target,384.59
11,3,kuvb,YbBT,left,target,503.96
11,4,OkGY,hTDd,right,target,715.15
11,5,mdkK,BPAl,left,target,153.54
11,6,LQur,EdBb,right,confound,447.99
11,7,BEPO,OEPk,left,confound,747.42
11,8,cthB,lMck,right,confound,171.19
11,9,uda,dBC,right,confound,347.29
11,10,TRkY,OdOP,right,target,372.9
11,11,mBbK,CmcO,left,confound,358.64
11,12,tKDmh,DOchl,left,confound,408.16
11,13,kbmZO,aNYmb,left,target,255.63
11,14,TmTm,TdTD,right,confound,227.45
11,15,UJmr,NkUA,left,confound,259.19
11,16,BRDh,OJNk,left,target,614.54
11,17,ldAa,dmRb,left,confound,324.98
11,18,ckduA,RkmdC,right,confound,281.7
11,19,BYhT,MDKP,right,target,190.66
11,20,lAOKM,btlck,left,target,277.14
11,21,dkLl,OQAr,left,target,315.34
11,22,OCmk,YDTk,right,target,227.31
11,23,dmZvm,htmhC,right,target,438.51
11,24,mARM,Ydud,right,target,553.86
11,25,Ehbt,Yadr,left,confound,436.87
11,26,YLQmG,YOaAb,left,target,340.86
11,27,dUr,mvG,right,target,353.83
11,28,Jud,EAO,right,confound,243.35
11,29,dMYBP,GumLl,right,target,465.76
11,30,LOLkU,aLNlk,left,target,372.77
