sbjID,trialn,target,confound,target_side,response,RT
12,1,kuvb,Nulk,left,confound,1316.32
12,2,MTdY,BRDh,left,target,400.36
12,3,KRARm,mBmlA,left,target,438.33
12,4,hTDd,lZcu,right,target,665.73
12,5,bmbN,TPOM,left,target,150.36
12,6,bdtK,PEtE,right,target,249.7
12,7,JdOAY,lCbcm,right,confound,163.15
12,8,uQkrd,hmKPM,right,confound,507.13
12,9,rkYL,ORbk,right,confound,324.94
12,10,OQAr,bYuQ,right,target,630.55
12,11,lBlE,lRCB,left,target,537.77
12,12,OkGY,cAZu,left,target,392.09
12,13,cdKBY,bmdAB,right,target,381.0
12,14,bvuZ,JAaG,right,confound,252.85
12,15,QONk,bGuO,left,confound,345.86
12,16,UJmr,dmkv,right,confound,177.5
12,17,cYUv,kJdr,left,target,224.17
12,18,ckduA,DkTCP,left,confound,513.69
12,19,cPK,uZc,left,target,270.63
12,20,tRPD,LkNc,left,target,144.16
12,21,lRckA,aLNlk,left,target,272.18
12,22,amJm,rckO,left,target,291.34
12,23,hEct,Grub,left,confound,305.73
12,24,aYaN,RCcE,left,target,408.24
12,25,ckdAm,AZlLN,left,confound,233.74
12,26,bAMO,AlNU,right,target,348.95
12,27,kbu,uvJ,left,confound,246.57
12,28,EtMDM,OAblc,left,target,148.94
12,29,EhRm,ACcO,right,target,139.39
12,30,kBD,TAm,right,confound,363.39
