sbjID,trialn,target,confound,target_side,response,RT
9,1,YbBT,BCAd,right,confound,1845.91
9,2,LcO,JZr,left,target,341.48
9,3,cUN,Tmc,left,target,463.95
9,4,vAvb,RCcE,left,target,219.11
9,5,EPBT,MTdY,right,target,159.91
9,6,KABA,YTOM,right,confound,572.85
9,7,PYkC,kKRC,right,target,310.53
9,8,mKcD,lrZG,left,confound,284.8
9,9,YKPB,vUdm,right,confound,189.02
9,10,DCmh,lBlE,left,confound,179.26
9,11,AlQaQ,OQarQ,left,target,332.78
9,12,LaA,hBK,right,target,155.32
9,13,kbmZO,rbYbu,right,target,300.77
9,14,CYPc,KdAR,left,target,219.39
9,15,UdlGQ,QcQAJ,left,target,139.3
9,16,Juaml,Blmcl,right,target,209.72
9,17,DBlh,alJY,left,target,185.83
9,18,YZUZ,AdYl,left,target,192.14
9,19,bvkr,muYN,right,confound,207.96
9,20,TAdhM,kMbTR,left,confound,176.11
9,21,RdPtD,LOLkU,right,confound,112.15
9,22,vmuLl,dRbDb,left,target,144.07
9,23,LckGN,BOckP,left,confound,136.24
9,24,Cchtd,YuaNd,left,target,212.87
9,25,OdlNm,PEkhA,left,confound,131.25
9,26,KEdl,blMk,right,target,201.75
9,27,EtMDM,uQkrd,right,confound,275.3
9,28,dTmED,RkmdC,right,target,112.2
9,29,NaJb,Yaum,left,target,139.37
9,30,Nulk,YQbc,right,target,473.77
