sbjID,trialn,target,confound,target_side,response,RT
19,1,PMd,LcO,right,target,4055.57
19,2,TdmA,tRPD,right,target,2104.44
19,3,lTmO,Yaum,left,target,1471.96
19,4,JmNk,DlDd,left,target,3039.97
19,5,JmvmO,hTtBb,left,confound,1711.51
19,6,dRbDb,NbacA,right,target,1824.19
19,7,kcCRt,kGamN,left,confound,1296.4
19,8,YJkb,aUZA,left,target,1295.39
19,9,MAB,BbM,left,confound,2129.26
19,10,Qru,mAM,right,confound,2417.64
19,11,EhRm,DhCP,left,target,1247.58
19,12,AlUY,YZJm,right,confound,1440.96
19,13,bNdmG,hlbtb,left,target,1473.53
19,14,lrZG,GQYQ,right,target,1633.99
19,15,aQr,DKP,right,target,1073.06
19,16,mkc,dUr,left,target,1265.83
19,17,EPERd,TCbDC,right,target,1569.98
19,18,BMEMA,KTDTB,right,target,1793.34
19,19,hRKm,rLaZ,right,target,1263.7
19,20,EPBT,JauQ,left,target,1154.27
19,21,uUY,mhc,right,confound,1153.56
19,22,DcPTc,GNAca,right,confound,1201.5
19,23,LYGA,BCAd,right,target,1265.76
19,24,YLQmG,tmtEM,left,target,689.95
19,25,Ehbt,lGZv,left,confound,1713.83
19,26,GZJY,hEct,right,confound,1313.56
19,27,TPOM,EdBb,left,confound,2322.36
19,28,PCMPK,dCtMA,right,confound,846.84
19,29,NvuGr,dGLAl,left,target,2096.99
19,30,aONd,UrOQ,left,confound,913.49
