sbjID,trialn,target,confound,target_side,response,RT
8,1,KlkD,hkRK,right,confound,881.09
8,2,Yadr,YlYc,right,target,653.32
8,3,kPkRA,UdYUQ,right,confound,716.68
8,4,kcCRt,adYrc,left,target,574.4
8,5,QOLmu,DBPhc,right,target,950.18
8,6,BCAd,CKOb,left,confound,664.0
8,7,Yht,uvJ,left,target,436.84
8,8,UaZma,TbKME,left,target,358.27
8,9,CPMl,badk,right,target,651.36
8,10,CmcO,TKDk,right,confound,572.95
8,11,YkZ,OcN,left,target,537.63
8,12,PdDT,NJZl,left,confound,1262.58
8,13,udkm,cAZu,right,confound,953.71
8,14,AYkEh,lhCTC,right,target,468.83
8,15,ORbk,lkAk,right,target,1013.02
8,16,Ymb,LcO,right,target,363.39
8,17,JrGv,OkGY,left,confound,1192.06
8,18,RCcE,UvOG,right,target,532.94
8,19,BEPO,uauO,left,target,454.54
8,20,NmAG,bAMO,left,target,1569.52
8,21,NkUA,mBbK,left,target,2492.99
8,22,rLaZ,KOYC,left,target,494.58
8,23,LQur,OMlT,left,confound,464.1
8,24,GNAca,tKDmh,left,confound,548.97
8,25,YJkb,NQZv,left,target,496.0
8,26,Grub,JdGm,right,target,465.76
8,27,PCPDh,TObCO,right,confound,992.15
8,28,LaA,cDR,left,target,553.74
8,29,BbM,kPM,right,confound,293.03
8,30,cRElD,LNUrJ,right,target,563.33
