sbjID,trialn,target,confound,target_side,response,RT
13,1,JQA,uUY,left,target,1785.16
13,2,kmU,kYL,left,confound,915.75
13,3,EtMDM,MkmEd,right,target,499.2
13,4,LaA,uvJ,right,confound,1003.24
13,5,lrZG,AdDb,left,target,526.38
13,6,ObZbA,PDPhl,left,confound,1217.7
13,7,UdlGQ,YOaAb,right,target,596.86
13,8,DRPkY,kcdOt,right,confound,1532.77
13,9,cthB,KEdl,left,confound,200.03
13,10,vuJZu,OAblc,right,target,166.62
13,11,MDKP,JAaG,right,target,326.52
13,12,ZcGdN,vkYGl,right,confound,198.46
13,13,NaAQd,ckdAm,left,target,468.91
13,14,kZUb,rkJu,left,target,228.95
13,15,cROMt,RkmdC,right,confound,518.51
13,16,PCPDh,hTtBb,left,target,249.57
13,17,OMlT,PEdK,right,target,862.52
13,18,BYhT,OkGY,left,confound,496.17
13,19,DbMR,kuvb,right,confound,206.6
13,20,uQuZc,cBROB,right,confound,590.55
13,21,dGLAl,AZlLN,right,confound,684.97
13,22,RhPm,CYPc,left,target,313.61
13,23,TDKh,AJLr,right,confound,296.07
13,24,RCdc,NQZv,right,target,485.07
13,25,bRC,NUZ,right,confound,123.35
13,26,ark,YNu,left,confound,304.23
13,27,lZcu,YKRk,right,target,158.64
13,28,ravu,ukbY,right,confound,224.21
13,29,TKDk,JNka,left,confound,470.58
13,30,AlTd,dYdA,left,target,328.22
