sbjID,trialn,target,confound,target_side,response,RT
10,1,OBT,mCd,right,confound,983.35
10,2,mBbK,JmNk,left,confound,733.47
10,3,RYlD,CKOb,right,target,247.75
10,4,kGamN,MkmEd,left,target,278.25
10,5,ubALm,GNAca,right,confound,134.31
10,6,GZJY,GQrc,right,target,315.2
10,7,alJY,Abka,left,confound,446.53
10,8,uda,APT,right,confound,182.41
10,9,UZu,YbN,right,target,350.51
10,10,kcCRt,dMYBP,right,confound,366.26
10,11,cMRl,OcZJ,right,target,396.96
10,12,GUOA,lMck,left,target,304.14
10,13,lmbY,DhMt,right,target,155.34
10,14,OQAr,DOAK,right,target,235.29
10,15,dMThk,bdUNu,right,target,256.08
10,16,OYK,vJQ,left,target,201.66
10,17,kcdOt,NbacA,right,target,289.69
10,18,cdKBY,BOckP,right,target,174.37
10,19,RdCc,EKBO,left,confound,318.56
10,20,rkYL,aUZA,left,target,171.2
10,21,PCMPK,vmuLl,right,target,352.12
10,22,Amacl,kMbTR,right,confound,332.9
10,23,dKRD,ukcY,left,target,176.09
10,24,rGUAY,LvuOG,right,target,134.6
10,25,kdaAJ,KRARm,left,target,120.14
10,26,RkmdC,Ldrbv,right,confound,389.0
10,27,PEkhA,aOLZU,left,target,219.27
10,28,dYAJ,CPMl,left,target,123.34
10,29,PYkC,PEdK,left,confound,267.32
10,30,OYuvb,bRABt,right,target,315.22
