sbjID,trialn,target,confound,target_side,response,RT
18,1,kcCRt,QOLmu,left,confound,1732.48
18,2,Avdk,NmAG,right,confound,1876.33
18,3,uQuZc,lCbcm,left,confound,1771.79
18,4,dMYBP,rcmuv,right,confound,2302.58
18,5,PYkC,kcOY,left,target,1375.16
18,6,ZvkL,lBKt,right,target,1760.27
18,7,ckLAL,kabJb,right,target,2254.54
18,8,bTE,kKE,right,target,1488.78
18,9,mbZl,EdBb,left,confound,1617.34
18,10,QcQAJ,dmZvm,right,confound,1649.32
18,11,TKDk,JdGm,right,target,1150.13
18,12,DRPkY,NvuGr,left,target,2032.85
18,13,YlYc,khmh,right,target,1105.18
18,14,Ymb,YcM,right,target,1409.15
18,15,mdla,GQrc,left,confound,2049.2
18,16,EPERd,cuOJb,right,target,1232.43
18,17,ABb,YbN,left,confound,1456.62
18,18,BATOc,OdlNm,left,confound,1920.49
18,19,dGLAl,Udumd,right,target,1439.52
18,20,bcOR,bcbM,right,confound,2928.87
18,21,TRK,BbM,right,target,1105.38
18,22,hEct,LUOk,left,confound,1598.56
18,23,uAkr,OdOP,right,target,3249.68
18,24,EPBT,JAaG,right,confound,1506.26
18,25,DcPTc,hlbtb,right,target,1886.81
18,26,kGua,DhMt,right,confound,1585.17
18,27,ldAa,MhKd,right,target,1022.72
18,28,Nac,OcN,right,confound,1023.79
18,29,vAuNl,OQarQ,right,confound,1793.27
18,30,Zvalv,tmtEM,left,target,1280.87
