sbjID,trialn,word,condition,response,RT
2,1,NaAQdKEdl,1,yes,519.87
2,2,mBYlkPM,0,yes,810.71
2,3,kNuaUdvY,0,yes,368.54
2,4,hbkdTRK,0,yes,512.19
2,5,kNuaEcR,1,yes,677.29
2,6,NAacQkPM,1,no,506.08
2,7,vAuNlEcR,1,no,493.5
2,8,bcbMmLJ,1,yes,118.85
2,9,KdARUdvY,1,yes,525.42
2,10,EhbtbLd,1,no,410.11
2,11,mBYlYbN,1,no,478.97
2,12,rcmuvKEdl,1,yes,160.56
2,13,NAacQYbN,0,yes,250.27
2,14,vAuNlUdvY,0,yes,216.66
2,15,kMbTRLaA,1,yes,1099.87
2,16,LdrbvYht,1,no,266.29
2,17,kLvdNYbN,0,yes,314.29
2,18,YJLcAmLJ,0,no,629.53
2,19,tmYhkPM,0,no,366.97
2,20,MkmEdbLd,1,no,296.74
2,21,NaAQdLaA,0,yes,411.77
2,22,MkmEdYht,0,yes,909.49
2,23,TAdhMUdvY,1,yes,432.7
2,24,kLvdNkPM,1,no,387.97
2,25,DcPTcLaA,1,yes,338.03
2,26,tmYhYbN,1,no,194.32
2,27,DcPTcKEdl,0,yes,594.35
2,28,TAdhMEcR,0,yes,397.51
2,29,YJLcATRK,1,yes,354.33
2,30,kbmZObLd,0,no,714.18
2,31,rcmuvLaA,0,yes,192.65
2,32,kbmZOYht,1,no,843.91
2,33,KdAREcR,0,yes,451.96
2,34,LdrbvbLd,0,yes,283.87
2,35,kMbTRKEdl,0,no,1419.84
2,36,EhbtYht,0,no,659.84
2,37,NkUAmLJ,0,no,179.9
2,38,bcbMTRK,0,yes,151.1
2,39,hbkdmLJ,1,yes,383.15
2,40,NkUATRK,1,yes,125.45
