sbjID,trialn,target,confound,target_side,response,RT
14,1,OtM,rAm,right,confound,1450.7
14,2,lvk,TRK,right,confound,384.67
14,3,bdtK,vQdO,left,target,468.76
14,4,ZcGdN,ODBDA,right,confound,282.99
14,5,BECk,tmYh,left,confound,1097.58
14,6,lAOKM,CRdBd,right,target,926.46
14,7,BbM,RDM,right,confound,270.56
14,8,tRb,BCD,left,confound,345.78
14,9,vblr,CmYA,right,confound,278.54
14,10,Ddck,hChY,left,confound,115.37
14,11,NaAQd,LOLkU,left,confound,94.3
14,12,COtBD,dGLAl,left,target,142.58
14,13,DlDd,amJm,right,target,360.1
14,14,ZNLOv,KMDYt,left,target,140.94
14,15,AOUl,dkLl,right,target,109.03
14,16,hRKm,lZcu,left,target,433.71
14,17,kdEdY,EPMDk,right,target,140.9
14,18,UJmr,PEtE,left,target,214.48
14,19,YJkb,ACcO,left,target,190.62
14,20,OJNk,OdYP,right,target,390.55
14,21,dClOC,ObZbA,left,target,308.93
14,22,ubALm,hmKPM,left,target,166.46
14,23,Blmcl,cRElD,right,target,91.31
14,24,UbG,KmE,left,target,190.65
14,25,JdOAY,ckdAm,left,confound,116.93
14,26,YZJm,AMkC,right,confound,208.18
14,27,tRPD,blMk,left,confound,134.65
14,28,QcQAJ,aLNlk,left,confound,273.69
14,29,Ald,dRA,right,target,192.21
14,30,BKDRY,dTmED,right,target,180.91
