"sbj_ID","Age","Gender","Education","L1","L2","L3","L4","otherLs","task","AoAL1","AoEaseL1","yearsEduL1","yearsCountryL1","yearsFamilyL1","yearsWorkL1","PercFriendsL1","PercFamilyL1","PercWorkL1","PercSelfL1","PercCountL1","ProfSpeakL1","ProfUnderstandL1","ProfReadL1","AttentionL1","ProfWriteL1","AttSelfL1","AttCultureL1","AttNativeLevelL1","AttMothertongueL1","HistoryL1Score","HistoryL2Score","HistoryL3Score","HistoryL4Score","UseL1Score","UseL2Score","UseL3Score","UseL4Score","ProficiencyL1Score","ProficiencyL2Score","ProficiencyL3Score","ProficiencyL4Score","AttitudeL1Score","AttitudeL2Score","AttitudeL3Score","AttitudeL4Score","L1Score","L2Score","L3Score","L4Score","AoAL2","AoEaseL2","yearsEduL2","yearsCountryL2","yearsFamilyL2","yearsWorkL2","PercFriendsL2","PercFamilyL2","PercWorkL2","PercSelfL2","PercCountL2","ProfSpeakL2","ProfUnderstandL2","ProfReadL2","AttentionL2","ProfWriteL2","AttSelfL2","AttCultureL2","AttNativeLevelL2","AttMothertongueL2","AoAL3","AoEaseL3","yearsEduL3","yearsCountryL3","yearsFamilyL3","yearsWorkL3","PercFriendsL3","PercFamilyL3","PercWorkL3","PercSelfL3","PercCountL3","ProfSpeakL3","ProfUnderstandL3","ProfReadL3","AttentionL3","ProfWriteL3","AttSelfL3","AttCultureL3","AttNativeLevelL3","AttMothertongueL3","AoAL4","AoEaseL4","yearsEduL4","yearsCountryL4","yearsFamilyL4","yearsWorkL4","PercFriendsL4","PercFamilyL4","PercWorkL4","PercSelfL4","PercCountL4","ProfSpeakL4","ProfUnderstandL4","ProfReadL4","AttentionL4","ProfWriteL4","AttSelfL4","AttCultureL4","AttNativeLevelL4","AttMothertongueL4","RC1_L4","RC3_L3","RC2_use_L1vsL2","RC7_hist_L2","RC9_use_L4","var","ent","use_ent","multiexp","L1_L2_diff","cossim","use_cossim","category","script"
"579e18fc4a84da00014c6f4f",23,"Woman","College","English","n/a","n/a","n/a","no","BLP",20,20,20,20,20,20,10,10,10,10,10,6,6,6,"true",6,6,6,6,6,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-0.0969900247556324,-0.56403850152264,-0.45022127526087,-0.54851526669389,-0.16706090308491,11874.4609,0,0,217.94,217.94,1,1,"mono","same"
"5b6aa4aa0d748b0001fb5260",25,"Man","PlusCollege","Polish","English","n/a","n/a","no","BLP",20,20,12,20,20,4,9,10,9,8,9,6,6,6,"true",5,6,6,6,6,43.584,14.982,0,0,49.05,5.45,0,0,52.21,40.86,0,0,54.48,29.51,0,0,199.324,90.802,0,0,13,10,10,0,0,0,1,0,1,2,1,4,5,6,"true",3,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-0.218024604758949,-0.919752666073602,-0.811618824875217,-0.256016688501467,0.127021544590911,8977.26207033333,0.896577066655933,0.468995593589281,290.126,108.522,0.936620994772747,0.78086880944303,"bi","same"
"5c1a6bd8f9250d0001b7c589",24,"Woman","PlusCollege","English","na","na","na","na","BLP",20,20,16,20,20,20,10,10,10,10,10,6,6,6,"true",6,6,6,6,6,52.664,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,216.124,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-0.105505388555532,-0.556401014541807,-0.488884705904865,-0.547773480572021,-0.136463825537231,11677.395844,0,0,216.124,216.124,1,1,"mono","same"
"5c437f6a4fe4f800016e3d52",24,"Man","HighSchool","Polish","English","n/a","n/a","no","BLP",20,20,13,20,20,0,10,10,10,8,9,6,6,6,"true",6,6,6,6,6,42.222,7.718,0,0,51.23,3.27,0,0,54.48,49.94,0,0,54.48,47.67,0,0,202.412,108.598,0,0,13,4,0,0,0,0,0,0,0,2,1,5,6,6,"true",5,6,3,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-0.202598458628388,-1.06245074073051,-1.1182744949543,-1.33814969185448,0.224627960304966,9527.44610766667,0.933332230351455,0.327444919154476,311.01,93.814,0.957392254546643,0.750713516922755,"bi","same"
"5c840aedbad8fb000106cb44",25,"Man","MinusCollege","Spanish","English","German","n/a","No","BLP",20,20,20,20,20,20,10,10,9,10,10,6,6,6,"true",6,6,6,6,6,54.48,18.16,0,0,53.41,1.09,10.9,0,54.48,43.13,4.54,0,54.48,27.24,15.89,0,216.85,89.62,31.33,0,15,10,15,0,0,0,0,0,1,0,0,4,5,5,"true",5,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"true",0,6,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-0.52073988051953,0.585229115185,-0.966785999850736,0.442545329320256,0.0557719932684946,9170.0086,1.23654875790671,0.767889540433205,337.8,127.23,0.923574549275898,0.692543361064444,"tri","same"
"5d696d1c55742f001af29220",22,"Woman","College","English","n/a","n/a","n/a","no","BLP",20,20,20,20,20,20,10,10,10,10,10,6,6,6,"true",6,6,6,6,6,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-0.0969900247556324,-0.56403850152264,-0.45022127526087,-0.54851526669389,-0.16706090308491,11874.4609,0,0,217.94,217.94,1,1,"mono","same"
"5db16ce33990ed0014564873",24,"Woman","Masters","English","n/a","n/a","n/a",NA,"BLP",20,19,17,20,20,2,10,10,10,10,10,6,6,6,"true",6,6,6,6,6,44.492,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,207.952,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-0.143824525655083,-0.522032323128061,-0.662870143802844,-0.544435443023609,0.00122302342732009,10811.008576,0,0,207.952,207.952,1,1,"mono","same"
"5e248b6f0c0b31718a9d3f31",22,"Man","PlusCollege","Polish","English","n/a","n/a","n/a","BLP",20,20,18,20,20,0,10,10,10,7,9,6,6,6,"true",6,6,5,6,6,44.492,14.982,0,0,50.14,4.36,0,0,54.48,47.67,0,0,52.21,31.78,0,0,201.322,98.792,0,0,15,3,15,0,0,0,0,0,0,3,1,5,6,6,"true",4,3,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-0.253772952521295,-0.978375368020309,-0.870324530332288,-0.335455530509708,0.170553413619698,9257.76789966667,0.914088008499353,0.402179190202273,300.114,102.53,0.946299656571426,0.765704864789611,"bi","same"
"5e2b03f0005f2a02c5a64f7b",22,"Man","MinusCollege","Polish","English","German","n/a","no","BLP",20,20,17,20,20,20,8,10,8,9,8,6,6,6,"true",6,6,6,6,6,53.118,17.252,12.258,0,46.87,6.54,11.99,0,54.48,43.13,27.24,0,54.48,20.43,18.16,0,208.948,87.352,69.648,0,15,8,15,0,0,0,2,0,2,1,1,5,5,5,"true",4,4,3,2,0,12,3,12,0,0,0,0,0,0,0,1,3,3,4,"true",2,3,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-0.769658282374154,1.18651056318006,-0.288060858905026,0.160739701266799,-0.00271731249503468,7553.66594533334,1.41049393835234,1.12534214124973,365.948,121.596,0.891703928814986,0.77343738198283,"tri","same"
"5e6449ae5932461d728d2152",24,"Woman","College","English","n/a","n/a","n/a","no","BLP",20,20,17,20,20,3,10,10,10,10,10,6,6,6,"true",6,6,6,6,6,45.4,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,208.86,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,-0.139566843755133,-0.525851066618478,-0.643538428480846,-0.544806336084544,-0.0140755153465189,10905.6249,0,0,208.86,208.86,1,1,"mono","same"
