"sbj_ID","Age","Gender","Education","L1","L2","L3","L4","otherLs","task","AoAL1","AoAL2","AoAL3","AoAL4","AttentionL1","AttentionL2","AttentionL3","AttentionL4","HistoryL1Score","HistoryL2Score","HistoryL3Score","HistoryL4Score","UseL1Score","UseL2Score","UseL3Score","UseL4Score","ProficiencyL1Score","ProficiencyL2Score","ProficiencyL3Score","ProficiencyL4Score","AttitudeL1Score","AttitudeL2Score","AttitudeL3Score","AttitudeL4Score","L1Score","L2Score","L3Score","L4Score","AoEaseL1","AoEaseL2","yearsEduL1","yearsEduL2","yearsCountryL1","yearsCountryL2","yearsFamilyL1","yearsFamilyL2","yearsWorkL1","yearsWorkL2","PercFriendsL1","PercFriendsL2","PercFamilyL1","PercFamilyL2","PercWorkL1","PercWorkL2","PercSelfL1","PercSelfL2","PercCountL1","PercCountL2","ProfSpeakL1","ProfSpeakL2","ProfUnderstandL1","ProfUnderstandL2","ProfReadL1","ProfReadL2","ProfWriteL1","ProfWriteL2","AttSelfL1","AttSelfL2","AttCultureL1","AttCultureL2","AttNativeLevelL1","AttNativeLevelL2","AttMothertongueL1","AttMothertongueL2","AoEaseL3","AoEaseL4","yearsEduL3","yearsEduL4","yearsCountryL3","yearsCountryL4","yearsFamilyL3","yearsFamilyL4","yearsWorkL3","yearsWorkL4","PercFriendsL3","PercFriendsL4","PercFamilyL3","PercFamilyL4","PercWorkL3","PercWorkL4","PercSelfL3","PercSelfL4","PercCountL3","PercCountL4","ProfSpeakL3","ProfSpeakL4","ProfUnderstandL3","ProfUnderstandL4","ProfReadL3","ProfReadL4","ProfWriteL3","ProfWriteL4","AttSelfL3","AttSelfL4","AttCultureL3","AttCultureL4","AttNativeLevelL3","AttNativeLevelL4","AttMothertongueL3","AttMothertongueL4","RC1_L3","RC9_L4","RC2_use_L1vsL2","RC8_hist_L2","RC3_prof_L2","var","ent","use_ent","multiexp","L1_L2_diff","cossim","use_cossim","category","script"
"60536ffae4f98513b671f482",22,"Woman","PlusCollege","English","n/a","n/a","n/a","no","BLP",20,NA,NA,NA,"true","","","",44.946,0,0,0,54.5,0,0,0,54.48,0,0,0,45.4,0,0,0,199.326,0,0,0,20,NA,16,NA,20,NA,20,NA,3,NA,10,NA,10,NA,10,NA,10,NA,10,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59457707822016,0.0359770436936998,-0.354753139784458,-1.00337605040781,-3.92778573671869,9932.713569,0,0,199.326,199.326,1,1,"mono","same"
"605aa0bb5fb71bbcf0808892",23,"Man","Masters","Portuguese","English","Spanish","n/a","No","BLP",20,14,14,NA,"true","true","true","",50.848,15.89,13.166,0,52.32,1.09,11.99,0,54.48,45.4,38.59,0,54.48,29.51,31.78,0,212.128,91.89,95.526,0,20,8,12,12,20,0,20,0,20,1,10,0,10,0,8,1,10,0,10,0,6,5,6,5,6,6,6,4,6,4,6,4,6,2,6,3,10,NA,4,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,3,NA,5,NA,6,NA,3,NA,4,NA,4,NA,3,NA,3,NA,1.41367546934984,-0.849282765999633,-0.957288750964953,-0.00267154389603006,0.231917469588754,7552.808392,1.46618611413797,0.804691464948089,399.544,120.238,0.922211127348074,0.70330746121158,"tri","same"
"60645fe61129208791535d15",22,"Man","PlusCollege","Portuguese","English","n/a","n/a","A bit of italian","BLP",20,16,NA,NA,"true","true","","",44.492,31.326,0,0,26.16,28.34,0,0,54.48,54.48,0,0,27.24,27.24,0,0,152.372,141.386,0,0,20,15,18,18,20,0,20,20,0,0,5,5,8,2,1,9,5,5,5,5,6,6,6,6,6,6,6,6,3,3,5,5,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.821228901046807,-0.491209701905649,1.68816642115812,0.366237607996664,1.32955963128109,7211.26224633334,0.998990873507984,0.998845535995202,293.758,10.986,0.999301422617985,0.999200958721789,"bi","same"
"6065d7d47409810344f7e6bb",24,"Woman","MinusCollege","Portuguese","English","French","n/a","No","BLP",20,10,8,NA,"true","true","true","",44.038,10.442,6.81,0,25.07,16.35,15.26,0,52.21,47.67,34.05,0,40.86,34.05,24.97,0,162.178,108.512,81.09,0,20,5,12,7,20,0,20,1,5,0,5,5,4,4,0,1,5,4,9,1,6,5,6,6,6,6,5,4,6,6,6,3,6,6,0,0,0,NA,5,NA,1,NA,1,NA,0,NA,0,NA,2,NA,9,NA,1,NA,0,NA,3,NA,5,NA,4,NA,3,NA,2,NA,3,NA,6,NA,0,NA,1.85040479458604,-1.06293974844338,1.3280890763051,-1.46829314635315,0.193168839698216,4571.61794266667,1.52642934378851,1.54758870213637,351.78,53.666,0.961145970415719,0.974049244044962,"tri","same"
"60664619eac28843177fee96",24,"Man","Masters","Portuguese","English","Spanish","n/a","no","BLP",20,10,7,NA,"true","true","true","",53.118,9.08,6.81,0,42.51,10.9,11.99,0,52.21,52.21,24.97,0,47.67,40.86,20.43,0,195.508,113.05,64.2,0,20,6,17,3,20,0,20,0,20,1,9,1,10,0,6,3,7,3,7,3,6,6,6,6,6,6,5,5,5,5,6,1,4,6,6,6,6,NA,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,2,NA,4,NA,4,NA,1,NA,1,NA,2,NA,3,NA,3,NA,0.988829958113354,-0.772637306621278,0.0850808739441596,-1.25671452733874,0.721667959577115,6796.06297433334,1.44738486277158,1.28349534078333,372.758,82.458,0.916623065720287,0.829977936713103,"tri","same"
"60670ac0fc7e169231369ab1",22,"Man","MinusCollege","English","IsiZulu","n/a","n/a","n/a","BLP",20,20,NA,NA,"true","true","","",44.492,39.498,0,0,50.14,4.36,0,0,54.48,45.4,0,0,27.24,27.24,0,0,176.352,116.498,0,0,20,20,14,3,20,20,20,20,4,4,9,1,8,2,9,1,10,0,10,0,6,6,6,6,6,4,6,4,6,6,0,0,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.778896055200325,-0.248995259005665,-1.43402633588192,2.24777226155426,0.704464815883725,7743.843761,0.969653757538263,0.402179190202273,292.85,59.854,0.979745881490126,0.765704864789611,"bi","same"
"606dc21c1ce7dc64af9d81fb",24,"Man","MinusCollege","Spanish","English","n/a","n/a","no","BLP",20,7,NA,NA,"true","true","","",45.4,4.994,0,0,49.05,5.45,0,0,54.48,38.59,0,0,52.21,24.97,0,0,201.14,74.004,0,0,20,4,20,0,20,0,20,0,0,0,10,0,10,0,8,2,7,3,10,0,6,4,6,5,6,5,6,3,6,3,6,0,5,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02591547818073,-0.156799699845227,-0.365780339770283,-1.24046679577481,-0.0871700760207922,9002.612144,0.839974997189557,0.468995593589281,275.144,127.136,0.907775439034556,0.78086880944303,"bi","same"
"6074768dc48e0753011d3d72",21,"Other","MinusCollege","Polish","English","German","n/a","No","BLP",20,17,14,NA,"true","true","true","",52.664,24.516,17.706,0,38.15,14.17,11.99,0,54.48,54.48,40.86,0,54.48,54.48,36.32,0,199.774,147.646,106.876,0,20,14,16,16,20,2,20,2,20,3,6,3,9,1,6,3,7,3,7,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,NA,13,NA,2,NA,2,NA,1,NA,1,NA,0,NA,1,NA,0,NA,0,NA,4,NA,5,NA,5,NA,4,NA,4,NA,4,NA,4,NA,4,NA,1.37095003545191,-1.03928177727665,0.372811752427133,0.0830491849973271,0.270079847989957,7178.419288,1.53933977588993,1.37951813861746,454.296,52.128,0.969898145074306,0.875155180330303,"tri","same"
"607ea5504e74d104da5a108a",22,"Man","HighSchool","Polish","English","n/a","n/a","No","BLP",20,15,NA,NA,"true","true","","",52.21,14.982,0,0,50.14,4.36,0,0,52.21,43.13,0,0,34.05,29.51,0,0,188.61,91.982,0,0,20,7,15,10,20,0,20,1,20,0,9,1,10,0,8,2,9,1,10,0,5,4,6,5,6,6,6,4,4,3,3,4,3,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.962764270014825,-0.168314921766367,-0.927976326310191,-0.330236355072472,0.442508170131383,8117.150936,0.91267739154358,0.402179190202273,280.592,96.628,0.945505685129187,0.765704864789611,"bi","same"
"60883a7e91c0be66dbb96fc8",23,"Woman","PlusCollege","Portuguese","English","French","Spanish","no","BLP",20,12,16,9,"true","true","true","true",44.492,14.074,25.878,4.086,45.78,6.54,8.72,0,54.48,45.4,38.59,13.62,54.48,36.32,40.86,11.35,199.232,102.334,114.048,29.056,19,7,17,10,20,0,20,0,2,2,9,1,8,0,5,5,10,0,10,0,6,5,6,6,6,5,6,4,6,4,6,3,6,6,6,3,13,0,8,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,5,3,5,2,3,1,3,0,5,2,4,2,6,1,0.752339781318754,0.269390506714051,-0.450505901238725,-0.790061684386604,0.0646315940194909,4861.32753166667,1.76739075972682,1.0575851584677,444.67,96.898,0.954696260223093,0.748866573223917,"quadri","same"
