"sbj_ID","L1Score","L2Score","L3Score","L4Score"
"579e18fc4a84da00014c6f4f",217.94,0,0,0
"5b6aa4aa0d748b0001fb5260",199.324,90.802,0,0
"5c1a6bd8f9250d0001b7c589",216.124,0,0,0
"5c437f6a4fe4f800016e3d52",202.412,108.598,0,0
"5c840aedbad8fb000106cb44",216.85,89.62,31.33,0
"5d696d1c55742f001af29220",217.94,0,0,0
"5db16ce33990ed0014564873",207.952,0,0,0
"5e248b6f0c0b31718a9d3f31",201.322,98.792,0,0
"5e2b03f0005f2a02c5a64f7b",208.948,87.352,69.648,0
"5e6449ae5932461d728d2152",208.86,0,0,0
"5e8b85a61e16e9057a996e36",209.494,73.822,0,0
"5e9dad3fd8d8010ac6a18620",186.244,126.854,28.334,0
"5ebd8f8679146d0a116bc257",197.418,76.818,87.534,0
"5ecba4b6ef75d53505406d57",215.76,109.778,55.392,0
"5ed14691e983f5067842fd20",184.698,160.18,100.066,0
"5eee55e93867d30a7771e616",204.774,0,0,0
"5ef0b54037a90c618ad9e97f",205.588,125.216,119.134,0
"5eff8b9ad19111064484eff7",193.054,145.65,42.498,0
"5f1165307d03fb0009716b8e",206.68,62.562,0,0
"5f21c29511084913913af654",207.86,90.438,20.888,9.988
"5f316280965ec564c886f978",206.86,152.728,66.742,34.504
"5f35782429beab53ef93cc2d",193.506,167.444,0,0
"5f3d119b77d8ba0009a79558",195.964,108.69,0,0
"5f5a5d4618746310515e2828",213.854,68.554,53.576,46.308
"5f6f3d061214fe49ec2b9619",200.774,109.782,0,0
"5f8af153e27f001bcc23ffc4",190.79,85.262,47.22,0
"5f8b724dc36e8c2ac6d5fb6e",188.24,136.844,0,0
"5f9c2359530d3e067a300bd6",206.678,105.058,77.366,0
"5fade36bdde8092117469a42",207.768,123.944,72.644,0
"5fb2946df797088a8c405c2e",197.776,140.926,86.536,79.452
"5ff3a2554cfb7d507511d89f",216.578,0,0,0
"5ffab69a57132749844b8020",209.856,140.198,54.302,0
"5ffd4230d96f6b2649d31f72",175.434,178.252,0,0
"60204c263941fb63d9d794bc",202.862,147.918,92.62,32.688
"602d2adcef81ce6b843da09b",209.768,0,0,0
"60379326171365000ac6ae93",213.58,96.068,29.06,0
"6046435099c3d00becdb2dfb",212.038,0,0,0
"604d5e61486bd0622d2102c0",217.94,0,0,0
"6057a8fe2d302939fc759940",197.23,148.284,37.504,0
"60907b8091341e8724ba80ed",193.872,138.476,106.24,78.996
"60a18093c5c040498d3addf8",194.418,136.568,58.57,0
"60a8bd22d03adbe92cbb9a5e",208.948,125.216,0,0
