"sbj_ID","strategy"
"601ffb441dc6d959b855eea5","I tried to remember the words from before, looking mainly to the last letters in the words."
"602bb123612bfe330818d4ef","I tried to remember the symbols"
"6042a56575ab0c1ccffc3152","i tried from memory"
"60491025dd8eb31e48a0ca8d","I was trying to recall some combitions of the shapes that were letters. "
"60536ffae4f98513b671f482","i looked for similar signs that i saw from the first aliens "
"605aa0bb5fb71bbcf0808892","No strategy"
"60645fe61129208791535d15","intuition"
"6065d7d47409810344f7e6bb","Looking at the order of the caractères and which ones were more used  "
"60664619eac28843177fee96","tried to remember the first three characters"
"60670ac0fc7e169231369ab1","The first letter (symbol), there's as pattern as to which letters (symbols) start first."
"606dc21c1ce7dc64af9d81fb","Tried to look for something that ressembles words i saw earlier"
"6074768dc48e0753011d3d72","Looking at the beginning and the end of symbols"
"607ea5504e74d104da5a108a","Trying to seek english words that look similar"
"60883a7e91c0be66dbb96fc8","I tried to recognize the simbols I memorized"
"608858869a591bd129fbbc6c","I tried to choose as correct the ones I recognized from the previous task"
"608c2e566d92c2aa3543e2d2","some words were human look alike"
"608c64e14968cdd8dcbe1be4","I tried to recognize the first letter"
"6092e2aac56871319199b6a5","find similar characters in my native language to make kind of a word with them"
"6093cacf9a39751eedd55916","mainly focusing on the first character"
"60957b300f08087b0af0031c","memory"
"60a3fe2d888e7a090d6d8f82","just intuition"
"60a68725b2b424dc0d7ce793","No specific strategy"
"60b7b8126c0c4524e913236e","Just remember the past letters"
"60bbe0da43325dadf2b1b6a9","Just memory"
"60c49e68081928c86ba7b98a","look at more particular characters that are not present in the other language"
"60d478e72e8251287b641b2d","try to recognise the symbols"
"60d7605d7af8d66774061717","I didn't use any strategy"
"60db4aed5dd7b87124f51341","Tried to identify sequence the same or similar to what i saw in the previous sessions "
"60dee3200c7c3355c62326d9","Tried to remember the words I saw"
"60e12640be1b69b66053d55b","looked at the first letter and tried to recognize it comparing it to the ones previously shown"
"60e3b18d3d4205b4c52ada56","I used the firccccsccccccccctccccccccccccccccccccc"
"60e9ea97d19e613e60a994da","Looked at the first and last letters and tried to identify letters that looked more straight than others"
"60eb26fb8db6845a14fe5a91","Looking for new symbols"
"60ec51c51a3158a50ded8a3e","Intuition"
"60edd136d544e7c8f5fac8a7","I tried to remember the first and last symbols of words that were communicated by the aliens."
"60f030dca19a06db1b50d16a","None"
"60f56f0103876eae7c0d870f","I tried memorising the first and last icons from the previous blocks."
"60f579085ebf24f9c80f223e","The first letter is used as a memory fuide"
"60f6b8f8e574e14634ead43e","Pattern recognition (I think it's called)"
"60f88d7fef1959734061e5a7","when same ""letters"" were next to each other and multiple times ( over 3) then i thought its different "
"60fd0f49858465796afd5da9","I tried to remember the patterns shown in the firts round of words and see if they matched"
"6100174f92a7a0e5141b195e","tried to remember the words i saw previously"
"61001b6892ebd05a24fe82e1","try to remember as must from the language i was shown"
