"sbj_ID","strategy"
"579e18fc4a84da00014c6f4f","didnt use a strategy"
"5b6aa4aa0d748b0001fb5260","When there was many quite the same symbols i think that they were from different aliens. From what i saw in block of words several time, is they were quite unique in one sentence"
"5c1a6bd8f9250d0001b7c589","recognised words with letters used multiple times"
"5c437f6a4fe4f800016e3d52","Tried to recall overall shape of the words"
"5c840aedbad8fb000106cb44","Some patrons I remembered that looked like words in earth alphabet and others just the feeling they gave to me."
"5d696d1c55742f001af29220","It was a complete guess"
"5db16ce33990ed0014564873","I thought a lot of words had similiar symbols close together so worked on this"
"5e248b6f0c0b31718a9d3f31","I didn't really use any strategy I was working on intution and memory"
"5e2b03f0005f2a02c5a64f7b","I didnt use any strategy."
"5e6449ae5932461d728d2152","I found that the original alien language had a good ratio of straight and curly characters which didn't repeat often, so I looked for that"
"5e8b85a61e16e9057a996e36","search for the first letter if it remind me a pattern"
"5e9dad3fd8d8010ac6a18620","Remeber patterns"
"5ebd8f8679146d0a116bc257","didnt"
"5ecba4b6ef75d53505406d57","I saw, if there are some similarities, length of word, repetition of symbols, etc."
"5ed14691e983f5067842fd20","Try to remember some part of the word"
"5eee55e93867d30a7771e616","no strategy"
"5ef0b54037a90c618ad9e97f","i tried to memorize the last three characters of the words"
"5eff8b9ad19111064484eff7","I was trying to look for multiples of the same character similar to the words before."
"5f1165307d03fb0009716b8e","just memory vision"
"5f21c29511084913913af654","I had no time for strategy"
"5f316280965ec564c886f978","I was trying to memorize the symbols that i saw at the beggining of the task"
"5f35782429beab53ef93cc2d","MEMORY"
"5f3d119b77d8ba0009a79558","sometimes I remembered which symbols were repeated in the previous worlds"
"5f5a5d4618746310515e2828","Trying to remember if I saw a pattern that looked the same"
"5f6f3d061214fe49ec2b9619","intiution "
"5f8af153e27f001bcc23ffc4","i did not"
"5f8b724dc36e8c2ac6d5fb6e","memorization"
"5f9c2359530d3e067a300bd6","Look at the first and last letter"
"5fade36bdde8092117469a42","No strategy"
"5fb2946df797088a8c405c2e","Trying to remember the overall shape of the words, but that didn't work that well."
"5ff3a2554cfb7d507511d89f","Tried to remember what I saw. Certain patterns of the same letter. Don't think I did well at all"
"5ffab69a57132749844b8020","Identify the initial letter as a known non- difficult sign"
"5ffd4230d96f6b2649d31f72","intuition"
"60204c263941fb63d9d794bc","sometimes could distinguish by the first and last character"
"602d2adcef81ce6b843da09b","I looked at the first two letters and tried to remember if I had seen them together in the previous task"
"60379326171365000ac6ae93","any"
"6046435099c3d00becdb2dfb","I noticed the first few symbols and tried to match those to the aliens"
"604d5e61486bd0622d2102c0","I just went with my gut feeling."
"6057a8fe2d302939fc759940","I looked at the beginning of the ""word"" and if first 2/3 ""letters"" reminded the first language I choose k and if not then d. Also if they were to long or didnt look similar to what I have seen then I also pressed d"
"60907b8091341e8724ba80ed","I tried to remember which ones looked familiar"
"60a18093c5c040498d3addf8","if i saw 2 equal characters next to each other they were not from the same group as before. also just the way the words were written i dont know how to explain"
"60a8bd22d03adbe92cbb9a5e","I tried remembering the symbols"
"60bf28df4926a8b6391df575","i was trying to remember the first part of a word"
"60c4a402716a8f9074fcd92e","I tried to remember the first letter."
"60c715c89bb47f3847a690f0","see if some letters are familiar "
"60c873a65a9883b52f70db6c","I tried to look for patterns that I saw in the sets I saw before. Also intuition."
"60ca0b60979a23c83652c303","no stratedy"
"60cef349a1fff159b5d4853e","i tried to remember the first and last letter combination pairs"
"60d26e7cd9f0761e4d12b9f8","I just tried to recognize the symbols order what I saw before"
"60d9dfd4dcc09cf57dc92cb1","intuition"
"60db9c9850c39eea109ef1d3","to see similar words from task 1"
"60e586145b73b702a608bace","Intuition and try to avoid words with the same letter twice in a row"
"60e5ac4f3d93f294f5fa543b","N/A"
"60f9739250a5c6f6e4726336","I didn't use any strategy."
"6102ee48644f517877d64d2b","I answered from the words I remembered but I mostly guessed."
"6103cbc5310ffddfafa01661","similar symbols and placement of symbols"
"6106ac34408681f3b0d07396","vibes"
"610d45e26c9b141264755d3c","I memorise the last words"
"61118c6d3c980e8b5b50e2fa","distribution of letters"
"6117bb7900c0ba81f079a4ee","I tried to recall the first and last characters of the words I've seen"
"611d180283c1129def9284e6","i paid attention to the start and end of word"
"611e00dc377e4fb7a27725e8","none"
"611e125063d1a52330225838","was looking for letter i was not familar with"
"611fd297eb06449f7f0a06b9","I tried ti identify english words within the symbols"
"61200d0d71bd5c0f9f9716b2","i tried to recognize the shapes"
"61242dd5be1a06b174975a1f","-"
"61248a51eefb6797024ecb85","recalling"
"612cc44439ccefbbd5d4b278","I did not find any strategy yet"
"612cd9f34adcee82f65685a1","Choose that sounded most familiar to me according to the arrangement of the letters"
"613054cf8dffc8bbb1fc9cc4","I tried to memorize the symbols that appeared the most or symbols that looked similar to normal alphabets."
"6134d182408816f4c1284496","cram first 2 signs"
"6135f6887f5dd1472f7d3d6e","Just trying to remember the symbols used"
"6136a1e1159dc808ad660d89","I tried to remember the first few and last few characters of each word"
"613758e7a80409ba7f5affb6","randm"
"613ca0a2040055a4e87c5d71","I looked at the word I saw but mostly I used my intuition"
"6148b49d6ac652cefd310332","tried to spot differences in the sequel of letters"
"615c1372e7e639775817487e","I recongnised the ones I rememeber and If I do not remember it then I select it as for the other group"
"615c47639c04e360b0a76f58","if the characters were the same"
"6166ef334de9e433e83bfb79","no strategy"
"616ad7ac6299f99ce33cdc78","I just remember some of them"
"616b567b3e605b7245a9aead","memorising the first and last letter"
"61717173748006894b2b54ff","Try to remember what I see before"
"6171946a19f6673fb215c0c7","I remembered the first 3 symblols of the words"
"6171f219ee27aa0e23d076aa","The words with repeated letters are from the aliens in the second world"
"61758dd4ab7ec0d91a929f3d","If i recognised the first two letters next to each other in the words"
"628ed30ae7ff849e8bc91c86","trying to remember what it spelled out as"
"631a1795de5efe7d3395caa3","Try to remember the middle part of each word"
"63c5335da2b625ab1ade7e7c","mostly looking at the first letter and see if there was any pattern that I remembered"
"6413799cf7721ee0ce637e09","Basically pure guessing. There were a couple of words that looked familiar that I said yes for. I also don't think any of the original words had repeated characters directly next to each other so I clicked no for those. But otherwise just guessing, trying to use my intuition for what seemed familiar or not really."
"646e0d2370c16a7561ae7dcb","None. I simply just guessed"
"649264e0b601af80c5677791","Mostly memory and association."
"6492c23a1a7735dfaab2b095","None, all by what I could remember"
"6495a5f76daf70e418baf5f7","i tried to recognize the first letters"
"6497e970e2621e753513a695","I tried to remember the communication"
"64e7533f36d388e8b31d3309","focusing on the first letter of the word"
"64e8bd55c9089d5bf26c90cd","if it looked familiar"
"64e8c14bbe184c20cb9d0583","I tried to compare the words to the words seen in blocks."
"64e9d6f596308448ac67bb95","Tried to recognize word by 3 first letters"
"64f61553b5635b5e00595923","identifying the first and last letters"
"64f7a35c5f6503caaa59f79f","The words i used to type the givem word"
"64fc701b223abd16ad5c940e","there were a few letters which I remembered seeing before in the beginning of some works and I guided myself using that. However, I do not remember all the letters that started works, obviously."
"650330fa0cbc534b423f41e9","I tried to see the shapes as fast as possible and try to identify if i had seen it before "
"6505a9adbb769aeea736a2f5","i did not use any"
"650aed9eb9cc2c717ba70c30","d and k"
"6511e688100fd33b378fa688","I tried to look at first and last letter"
"651c59ec0cb6fef4208190f5","I was lookin at first letter and last letter"
"651eda4af4a809dbba0bb002","I tried to remember the words that I've seen before. The words were mostly consists of similar shapes. That kind of words could be from the old group."
"65352001dbe3e18eae5a8300","none this is too hard "
"65361483b7f9881afa9b4cda","tried to match specific combinations of symbols from the first part of the study, to what i was seeing here"
"653d2df588326f6f627b8cb5","I try to look at the first and last letter of the word. After that, I try to look at the letter after or before, but it was too hard"
"653fb764c9aed77c01457531","I just tried to guess what I have may seen."
"654632f222cb15acd453c0d3","None"
