,sbj_ID,Age,Gender,Education,L1,L2,L3,L4,otherLs,task,AoAL1,AoAL2,AoAL3,AoAL4,AoEaseL1,AoEaseL2,AoEaseL3,AoEaseL4,yearsEduL1,yearsEduL2,yearsEduL3,yearsEduL4,yearsCountryL1,yearsCountryL2,yearsCountryL3,yearsCountryL4,yearsFamilyL1,yearsFamilyL2,yearsFamilyL3,yearsFamilyL4,yearsWorkL1,yearsWorkL2,yearsWorkL3,yearsWorkL4,PercFriendsL1,PercFriendsL2,PercFriendsL3,PercFriendsL4,PercFamilyL1,PercFamilyL2,PercFamilyL3,PercFamilyL4,PercWorkL1,PercWorkL2,PercWorkL3,PercWorkL4,PercSelfL1,PercSelfL2,PercSelfL3,PercSelfL4,PercCountL1,PercCountL2,PercCountL3,PercCountL4,ProfSpeakL1,ProfSpeakL2,ProfSpeakL3,ProfSpeakL4,ProfUnderstandL1,ProfUnderstandL2,ProfUnderstandL3,ProfUnderstandL4,ProfReadL1,ProfReadL2,ProfReadL3,ProfReadL4,AttentionL1,AttentionL2,AttentionL3,AttentionL4,ProfWriteL1,ProfWriteL2,ProfWriteL3,ProfWriteL4,AttSelfL1,AttSelfL2,AttSelfL3,AttSelfL4,AttCultureL1,AttCultureL2,AttCultureL3,AttCultureL4,AttNativeLevelL1,AttNativeLevelL2,AttNativeLevelL3,AttNativeLevelL4,AttMothertongueL1,AttMothertongueL2,AttMothertongueL3,AttMothertongueL4,HistoryL1Score,HistoryL2Score,HistoryL3Score,HistoryL4Score,UseL1Score,UseL2Score,UseL3Score,UseL4Score,ProficiencyL1Score,ProficiencyL2Score,ProficiencyL3Score,ProficiencyL4Score,AttitudeL1Score,AttitudeL2Score,AttitudeL3Score,AttitudeL4Score,L1Score,L2Score,L3Score,L4Score
0,698dd411bc2ef10a72a75749,25,Man,College,Arabic,Englis,Germany,n/a,n/a,BLP,20,13.0,1.0,,20,2.0,0.0,,16,5.0,0.0,,20,0.0,0.0,,20,0.0,0.0,,3,0.0,0.0,,7,2,1,,10,0,0,,10,0,0,,7,1,2,,10,0,0,,6,5.0,2.0,,6,5.0,3.0,,6,6.0,4.0,,true,true,true,,6,6.0,2.0,,6,6.0,6.0,,6,5.0,3.0,,6,6.0,4.0,,6,5.0,6.0,,44.946,9.08,0.454,0.0,47.96,3.2700000000000005,14.170000000000002,0.0,54.480000000000004,49.94,24.97,0.0,54.480000000000004,49.94,43.13,0.0,201.86600000000004,112.22999999999999,82.724,0.0
0,698df4a194fabefa716596ec,19,Man,MinusHighSchool,English,n/a,n/a,n/a,no,BLP,10,,,,8,,,,15,,,,7,,,,2,,,,6,,,,10,,,,10,,,,10,,,,10,,,,10,,,,6,,,,6,,,,6,,,,true,,,,6,,,,6,,,,6,,,,6,,,,6,,,,21.792,0.0,0.0,0.0,54.50000000000001,0.0,0.0,0.0,54.480000000000004,0.0,0.0,0.0,54.480000000000004,0.0,0.0,0.0,185.252,0.0,0.0,0.0
0,698f277e7eb87d0f843d6bf7,20,Man,MinusCollege,Arabic,English,n/a,n/a,No,BLP,20,16.0,,,20,2.0,,,12,13.0,,,20,0.0,,,20,0.0,,,1,1.0,,,8,2,,,9,1,,,4,6,,,8,2,,,3,7,,,6,4.0,,,6,5.0,,,6,6.0,,,true,true,,,5,3.0,,,6,6.0,,,5,4.0,,,6,6.0,,,6,6.0,,,42.222,14.528,0.0,0.0,34.88,19.62,0.0,0.0,52.21,40.86,0.0,0.0,52.21,49.94,0.0,0.0,181.52200000000002,124.94800000000001,0.0,0.0
0,69907667f821728d219ce06d,18,Woman,HighSchool,arabic,english,french,n/a,no,BLP,20,15.0,15.0,,20,20.0,20.0,,12,12.0,12.0,,18,2.0,0.0,,18,18.0,18.0,,18,18.0,18.0,,7,2,1,,7,3,0,,4,5,1,,5,4,1,,3,6,1,,6,6.0,6.0,,6,6.0,6.0,,6,6.0,4.0,,true,true,true,,6,6.0,5.0,,6,6.0,6.0,,6,6.0,6.0,,6,6.0,6.0,,6,6.0,6.0,,48.124,38.59,37.682,0.0,28.340000000000003,21.8,11.99,0.0,54.480000000000004,54.480000000000004,47.67,0.0,54.480000000000004,54.480000000000004,54.480000000000004,0.0,185.42400000000004,169.35000000000002,151.822,0.0
0,699426b305113343f561b4c6,24,Woman,Masters,SPANISH,ENGLISH,FRENCH,GERMAN,NO,BLP,20,16.0,10.0,2.0,20,20.0,5.0,0.0,18,20.0,17.0,20.0,20,2.0,0.0,3.0,20,1.0,0.0,3.0,20,15.0,0.0,3.0,10,0,0,0,10,0,0,0,5,4,0,1,5,5,0,0,10,0,0,0,6,6.0,0.0,2.0,6,6.0,3.0,1.0,6,6.0,3.0,1.0,true,true,true,true,6,6.0,1.0,1.0,6,6.0,0.0,0.0,6,6.0,0.0,0.0,6,6.0,0.0,0.0,6,0.0,0.0,0.0,53.572,33.596000000000004,14.528,14.074,43.6,9.81,10.9,1.09,54.480000000000004,54.480000000000004,15.89,11.35,54.480000000000004,40.86,0.0,0.0,206.132,138.746,41.318,26.514
0,6998a16a9147ebdebf871a82,24,Man,College,Arabic,English,French,n/a,no,BLP,20,14.0,9.0,,20,9.0,6.0,,15,10.0,6.0,,20,4.0,0.0,,20,1.0,0.0,,20,2.0,0.0,,9,1,0,,9,1,0,,5,5,0,,9,1,0,,3,6,1,,6,5.0,1.0,,6,5.0,1.0,,6,4.0,1.0,,true,true,true,,6,5.0,1.0,,6,4.0,1.0,,6,4.0,0.0,,6,4.0,0.0,,6,6.0,0.0,,52.21,18.16,9.534,0.0,38.150000000000006,15.260000000000002,10.9,0.0,54.480000000000004,43.13,9.08,0.0,54.480000000000004,40.86,2.27,0.0,199.32000000000005,117.41000000000001,31.784000000000002,0.0
0,6998ed35ce310d26bcf802aa,18,Woman,HighSchool,Spanish ,English ,n/a,n/a,No,BLP,20,10.0,,,20,4.0,,,13,7.0,,,18,0.0,,,18,0.0,,,2,0.0,,,10,0,,,10,0,,,9,1,,,10,0,,,9,1,,,6,3.0,,,6,3.0,,,6,4.0,,,true,true,,,6,3.0,,,6,2.0,,,6,2.0,,,6,1.0,,,6,0.0,,,41.314,9.534,0.0,0.0,52.32000000000001,2.18,0.0,0.0,54.480000000000004,29.51,0.0,0.0,54.480000000000004,11.35,0.0,0.0,202.59400000000005,52.574000000000005,0.0,0.0
0,699c7585ca22df8b1bf087fe,22,Man,MinusCollege,Arabic,English,German,n/a,n/a,BLP,20,15.0,11.0,,20,6.0,0.0,,20,20.0,0.0,,20,0.0,0.0,,20,0.0,0.0,,20,2.0,0.0,,9,1,0,,10,0,0,,7,3,0,,9,1,0,,9,1,0,,6,5.0,2.0,,6,6.0,2.0,,6,6.0,2.0,,true,true,true,,6,6.0,1.0,,6,5.0,1.0,,6,6.0,2.0,,6,6.0,2.0,,6,6.0,1.0,,54.480000000000004,19.522000000000002,4.994,0.0,47.96,6.540000000000001,10.9,0.0,54.480000000000004,52.21,15.89,0.0,54.480000000000004,52.21,13.620000000000001,0.0,211.40000000000003,130.482,45.403999999999996,0.0
0,69a56a100ee2dc518e8c415c,22,Man,College,Arabic,English,n/a,n/a,no,BLP,20,10.0,,,11,7.0,,,12,9.0,,,20,20.0,,,20,0.0,,,20,1.0,,,5,5,,,7,3,,,8,2,,,2,8,,,4,6,,,6,6.0,,,5,5.0,,,6,6.0,,,true,true,,,6,6.0,,,6,6.0,,,6,2.0,,,6,6.0,,,6,6.0,,,46.762,21.338,0.0,0.0,28.340000000000003,26.160000000000004,0.0,0.0,52.21,52.21,0.0,0.0,54.480000000000004,45.4,0.0,0.0,181.79200000000003,145.108,0.0,0.0
0,69a5dbac7321bbc23b76cb30,21,Woman,MinusCollege,Spanish,English,n/a,n/a,no,BLP,20,15.0,,,20,8.0,,,18,12.0,,,20,0.0,,,20,0.0,,,20,13.0,,,8,2,,,10,0,,,7,3,,,6,4,,,8,2,,,6,5.0,,,6,5.0,,,6,6.0,,,true,true,,,5,4.0,,,6,4.0,,,6,2.0,,,6,6.0,,,6,4.0,,,53.572,21.792,0.0,0.0,42.510000000000005,11.99,0.0,0.0,52.21,45.4,0.0,0.0,54.480000000000004,36.32,0.0,0.0,202.772,115.50200000000001,0.0,0.0
