,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt
0,5b715800b31d480001eda165,familiarity,11,hlbtb,ZJLmr,1,0,False,1224.0
0,5b715800b31d480001eda165,familiarity,12,YDE,dUr,1,0,False,1541.0
0,5b715800b31d480001eda165,familiarity,13,DbMR,LkNc,0,0,True,1674.0
0,5b715800b31d480001eda165,familiarity,14,kcdOt,ZYcQU,1,0,False,1658.0
0,5b715800b31d480001eda165,familiarity,15,TRkY,mcOJ,0,1,False,933.0
0,5b715800b31d480001eda165,familiarity,16,EPERd,aLNlk,0,0,True,1089.0
0,5b715800b31d480001eda165,familiarity,17,YmBd,GZJY,0,1,False,1602.0
0,5b715800b31d480001eda165,familiarity,18,JQA,BCD,1,0,False,1285.0
0,5b715800b31d480001eda165,familiarity,19,mLJ,kmU,0,0,True,1439.0
0,5b715800b31d480001eda165,familiarity,20,OAmAd,KBKBE,0,0,True,1111.0
0,5b715800b31d480001eda165,familiarity,21,kLvdN,JAdLm,1,1,True,1237.0
0,5b715800b31d480001eda165,familiarity,22,mkc,tAY,1,1,True,1106.0
0,5b715800b31d480001eda165,familiarity,23,tcYbd,YNrAm,0,1,False,1147.0
0,5b715800b31d480001eda165,familiarity,24,ZAUu,KlkD,1,0,False,1577.0
0,5b715800b31d480001eda165,familiarity,25,kbmZO,DBPhc,0,1,False,988.0
0,5b715800b31d480001eda165,familiarity,26,Abka,OJNk,0,0,True,984.0
0,5b715800b31d480001eda165,familiarity,27,lZcu,ALGZ,1,0,False,946.0
0,5b715800b31d480001eda165,familiarity,28,TAm,UbG,0,0,True,985.0
0,5b715800b31d480001eda165,familiarity,29,OkGY,kKRC,1,1,True,1013.0
0,5b715800b31d480001eda165,familiarity,30,uQkrd,MkmEd,1,1,True,889.0
0,5be84b9a40b06b0001370c9f,familiarity,1,auYAk,dvNvA,1,1,True,3122.0
0,5be84b9a40b06b0001370c9f,familiarity,2,PCMPK,RlAKc,0,0,True,1775.0
0,5be84b9a40b06b0001370c9f,familiarity,3,LvuOG,UdYUQ,0,0,True,1858.0
0,5be84b9a40b06b0001370c9f,familiarity,4,PctRC,hmKPM,0,1,False,1621.0
0,5be84b9a40b06b0001370c9f,familiarity,5,tDPRk,ObZbA,1,1,True,1961.0
0,5be84b9a40b06b0001370c9f,familiarity,6,bvuZ,CmYA,1,0,False,1493.0
0,5be84b9a40b06b0001370c9f,familiarity,7,YZUZ,PEtE,0,0,True,1411.0
0,5be84b9a40b06b0001370c9f,familiarity,8,UbG,OcN,1,1,True,1496.0
0,5be84b9a40b06b0001370c9f,familiarity,9,YArG,RCdc,0,1,False,1761.0
0,5be84b9a40b06b0001370c9f,familiarity,10,TklD,lMck,1,1,True,1964.0
0,5be84b9a40b06b0001370c9f,familiarity,11,RdPtD,hlbtb,0,1,False,1517.0
0,5be84b9a40b06b0001370c9f,familiarity,12,YUNkZ,vkYGl,0,1,False,1451.0
0,5be84b9a40b06b0001370c9f,familiarity,13,cAZu,BbOD,1,1,True,1923.0
0,5be84b9a40b06b0001370c9f,familiarity,14,EtMDM,YLQmG,1,0,False,1037.0
0,5be84b9a40b06b0001370c9f,familiarity,15,bdUNu,ubALm,1,1,True,2165.0
0,5be84b9a40b06b0001370c9f,familiarity,16,ABb,cDR,1,0,False,1521.0
0,5be84b9a40b06b0001370c9f,familiarity,17,OmtlD,QLrOJ,1,1,True,1433.0
0,5be84b9a40b06b0001370c9f,familiarity,18,dRbDb,ZYcQU,1,1,True,990.0
0,5be84b9a40b06b0001370c9f,familiarity,19,aLNlk,QOLmu,0,0,True,804.0
0,5be84b9a40b06b0001370c9f,familiarity,20,MkmEd,Amacl,0,1,False,788.0
0,5be84b9a40b06b0001370c9f,familiarity,21,OJNk,OZkb,0,0,True,634.0
0,5be84b9a40b06b0001370c9f,familiarity,22,BRDh,ACcO,1,0,False,691.0
0,5be84b9a40b06b0001370c9f,familiarity,23,tcB,OBT,1,1,True,454.0
0,5be84b9a40b06b0001370c9f,familiarity,24,AdYl,TKDk,0,0,True,1344.0
0,5be84b9a40b06b0001370c9f,familiarity,25,hbkd,Gabk,0,1,False,988.0
0,5be84b9a40b06b0001370c9f,familiarity,26,TRkY,rLkm,0,0,True,964.0
0,5be84b9a40b06b0001370c9f,familiarity,27,mbZl,LuaU,0,1,False,1387.0
0,5be84b9a40b06b0001370c9f,familiarity,28,ArQu,LdQv,1,0,False,842.0
0,5be84b9a40b06b0001370c9f,familiarity,29,UJmr,NkUA,1,1,True,1159.0
0,5be84b9a40b06b0001370c9f,familiarity,30,OJlN,bvkr,0,0,True,1032.0
0,5c5baaec192d350001d5c8e4,familiarity,1,kdaAJ,TCbDC,1,1,True,1840.0
0,5c5baaec192d350001d5c8e4,familiarity,2,OQAr,LdQv,0,0,True,1583.0
0,5c5baaec192d350001d5c8e4,familiarity,3,PEkhA,DOchl,1,1,True,1464.0
0,5c5baaec192d350001d5c8e4,familiarity,4,COTK,GJZm,0,0,True,1168.0
0,5c5baaec192d350001d5c8e4,familiarity,5,QLrOJ,GNAca,0,0,True,904.0
0,5c5baaec192d350001d5c8e4,familiarity,6,dNZA,khMD,1,1,True,2168.0
0,5c5baaec192d350001d5c8e4,familiarity,7,YuaNd,tcYbd,1,0,False,1272.0
0,5c5baaec192d350001d5c8e4,familiarity,8,TPCb,OdOP,0,0,True,1704.0
0,5c5baaec192d350001d5c8e4,familiarity,9,kYL,kam,1,0,False,1312.0
0,5c5baaec192d350001d5c8e4,familiarity,10,Phktk,DBPhc,0,0,True,1224.0
0,5c5baaec192d350001d5c8e4,familiarity,11,EMYK,aONd,0,0,True,1056.0
0,5c5baaec192d350001d5c8e4,familiarity,12,PEtE,BRDh,0,0,True,1272.0
0,5c5baaec192d350001d5c8e4,familiarity,13,bcbM,blMk,0,0,True,1104.0
0,5c5baaec192d350001d5c8e4,familiarity,14,kmU,UbG,1,1,True,1416.0
0,5c5baaec192d350001d5c8e4,familiarity,15,Qclad,uQuZc,0,0,True,1911.0
0,5c5baaec192d350001d5c8e4,familiarity,16,BPAl,KMOc,1,0,False,2263.0
0,5c5baaec192d350001d5c8e4,familiarity,17,OPE,PTl,0,0,True,1584.0
0,5c5baaec192d350001d5c8e4,familiarity,18,ZdNmU,Juaml,1,1,True,1280.0
0,5c5baaec192d350001d5c8e4,familiarity,19,mtKP,lMck,1,1,True,1272.0
0,5c5baaec192d350001d5c8e4,familiarity,20,krGu,YZJm,0,1,False,976.0
0,5c5baaec192d350001d5c8e4,familiarity,21,rULv,lcOc,0,1,False,1624.0
0,5c5baaec192d350001d5c8e4,familiarity,22,KTDTB,BMEMA,0,1,False,2000.0
0,5c5baaec192d350001d5c8e4,familiarity,23,lmbY,OcZJ,0,1,False,1231.0
0,5c5baaec192d350001d5c8e4,familiarity,24,mAM,dUr,0,0,True,1104.0
0,5c5baaec192d350001d5c8e4,familiarity,25,YbBT,CmYA,0,0,True,1776.0
0,5c5baaec192d350001d5c8e4,familiarity,26,mCd,YNu,0,1,False,1736.0
0,5c5baaec192d350001d5c8e4,familiarity,27,cUN,Cdt,1,0,False,928.0
0,5c5baaec192d350001d5c8e4,familiarity,28,lKdbc,YJLcA,1,0,False,1279.0
0,5c5baaec192d350001d5c8e4,familiarity,29,ZNLOv,kdEdY,1,1,True,1640.0
0,5c5baaec192d350001d5c8e4,familiarity,30,OYuvb,Cchtd,0,0,True,1568.0
0,5c5e04ca6539fe00016e1afa,familiarity,1,KlkD,DBlh,1,0,False,1881.0
