"sbj_ID","UseL1Score","UseL2Score","UseL3Score","UseL4Score"
"5ba4da6f03692b00019adae6",54.5,0,0,0
"5ea2e2054687bd0517c23492",45.78,8.72,10.9,0
"60c0fa09ef735c52ada64d23",54.5,0,0,0
"60fa6f5d0c4ef9c26538f610",53.41,1.09,0,0
"60fa7628023c88195f68529c",54.5,0,0,0
"6124f23ea1f4ef44fe280dd4",50.14,4.36,0,0
"612e6bf6f0eba168c2a1dc35",44.69,8.72,10.9,0
"61353c933f32fef782432cc7",53.41,1.09,10.9,0
"659c0682d109f8537a89fdd3",49.05,5.45,0,0
"65b3c533a99b6a6b97a6f54a",43.6,10.9,0,0
"65fad6c874ac75642ffc254b",34.88,5.45,7.63,1.09
"65feaaac53eb219f09ad5ea0",39.24,10.9,14.17,0
"66019ce5f01f7f69af8016d1",54.5,0,10.9,0
"66446d88662725412dc27d06",3.27,20.71,31.61,0
"66676e9de30c99b6eaa0b5a3",52.32,2.18,10.9,0
"666b081591c316f46bbb3361",42.51,6.54,11.99,0
"669d0b18e3a1ae0b5f7571ef",37.06,17.44,0,0
"66b2acaa5fe9506f6cd278a8",43.6,8.72,10.9,0
"66c7469a4526d21d11ed0e15",54.5,0,0,0
"66ca0a6b19da058b82d8637d",39.24,15.26,0,0
"66ce4da62b4ca0e6ead754d6",45.78,8.72,0,0
"66cf143e060992b3d817c20f",37.06,5.45,2.18,9.81
"671a35e007e5342c31f94fa7",54.5,0,0,0
"67269f439696d166fbb74e09",54.5,0,0,0
"67270215b5ff7147c67afb89",47.96,6.54,0,0
"673c2ec22f554dedb25d4049",20.71,7.63,15.26,13.08
"673caf90069aa7e3820136cc",54.5,0,0,0
"67407b1fdd5d63e5b542d325",28.34,26.16,0,0
"67503701c4ef8958767a58d9",39.24,7.63,9.81,2.18
"677302ad15f7e3d0c1725fef",54.5,0,0,0
"68c00b0de12e311f71a427fd",37.06,14.17,13.08,0
"68c91cf657e369ac5e1a5663",41.42,13.08,0,0
"68d446bc9f28065a31881b5f",44.69,9.81,0,0
"690b6a1d98044838e462d048",28.34,14.17,17.44,0
"692e8f1540ec35b6b4bb0b51",49.05,5.45,0,0
"6931bc7a9286300ba24d7703",50.14,4.36,0,0
"6931ed877a6b11c2d99e317a",52.32,2.18,0,0
"6931edb6c25b0bfc7745d97b",32.7,10.9,15.26,0
"6932b8da8751dc6771770907",47.96,5.45,9.81,0
"6932c63c66408da96a982ab1",54.5,0,0,0
"6951d6fd93f50ed0e6363eba",43.6,9.81,9.81,0
"6972610c74d08456b2aa6ae2",38.15,14.17,10.9,2.18
"6977ae157abbca43d19d7ed2",51.23,3.27,0,0
"6978c41323acbe6260c25b6b",54.5,0,0,0
"697a79efb4f34a8176d66d2b",44.69,9.81,10.9,0
"697ae23c7ed5edbb062a80a3",47.96,6.54,0,0
"697af0b9a1262e67a280818f",47.96,6.54,0,0
"697b23f24e0252dfb327f950",46.87,5.45,13.08,0
"697babc50cd42f81edf45acc",38.15,9.81,17.44,0
"697bbefe70fe1cb006530f0f",41.42,13.08,0,0
"697ca949b8525fcd6448b5ab",42.51,9.81,11.99,0
"697ca9cfd08ef9e2ffd194c9",43.6,10.9,0,0
"697cab1603c68e76a4d71eb0",37.06,8.72,10.9,6.54
"697cabd6c4f2dee174cf2a1d",32.7,21.8,0,0
"697cac029fc2c2f5a6adbc65",39.24,15.26,0,0
"697caee42ccb58f80bd052aa",13.08,39.24,9.81,0
"697cb146afcfe842ae49bdd4",52.32,2.18,0,0
"697cb9bb801ddf0766cdaa70",35.97,18.53,0,0
"697cbe43c25ee72899c9c213",32.7,20.71,9.81,0
"697cc570d57156b29c34b70a",28.34,4.36,31.61,0
"697ccf682c513bd6ac96151f",31.61,22.89,0,0
"697cd69b8306e0d7e7ff4bfc",41.42,13.08,10.9,0
"697ce004a414418e49c8d32a",32.7,21.8,0,0
"697ce7bf0f53f5d87f619308",40.33,14.17,0,0
"697ce9513b3628db72070f23",23.98,23.98,10.9,3.27
"697ced4d80e2cdd6597570a4",50.14,4.36,0,0
"697cee693cacc7fc3ccaedb3",51.23,3.27,0,0
"697ceef83c5a1d1a0f21c6c1",37.06,17.44,0,0
"697d0af5cbf092790e5303e5",49.05,5.45,10.9,0
"697da4b448849212fa6532e6",29.43,21.8,4.36,0
"697f3920d3a9308de7557222",32.7,21.8,10.9,0
"698074189377637711d6ee4c",54.5,0,0,0
"6980756db82b3f6b672c2fea",53.41,1.09,0,0
"698077f69bf2b842579340fc",54.5,0,0,0
"698078075d3326e1b30bd1c3",38.15,16.35,0,0
"698078e0b930dfcbfde9d603",46.87,7.63,0,0
"69807d4738a6a1d1a2774e67",43.6,10.9,0,0
"69807e97ec7daf3eb0a4f256",38.15,11.99,15.26,0
"69807f12172ef48a2ac7edfa",32.7,10.9,15.26,3.27
"69808261911a7a9bd10cd048",40.33,14.17,0,0
"6980899c7847724b431b38ac",39.24,15.26,0,0
"698093a6ccef1114e376cfe5",30.52,22.89,2.18,0
"6980962a67c3b3ba8cb2836a",42.51,10.9,10.9,0
"69809b4956d7129d4b119b43",37.06,17.44,0,0
"69809e035896ef246cbc2922",22.89,22.89,15.26,0
"6980a4f0faef0e53cdfb97a7",43.6,3.27,16.35,0
"6980a7096eb2c15732813632",40.33,14.17,10.9,0
"6980b37761737090ad122e6f",44.69,9.81,0,0
"6980b64569f487effa4069a3",23.98,30.52,0,0
"6980b660de828c2f1a83d72f",33.79,20.71,0,0
"6980b7b8619ca8828b86f21b",39.24,15.26,0,0
"6980b8dbf12d0bde4727635e",42.51,5.45,14.17,3.27
"6980bc0b357eb9d91de4a0e9",34.88,19.62,0,0
"6980bff5e4be64da2d6c8914",45.78,8.72,0,0
"6980c16f9985e39f6bcbbe3a",33.79,17.44,14.17,0
"6980c5902273a0acf918ced1",40.33,14.17,0,0
"6980d349ae34723f48ea7a3d",42.51,11.99,0,0
"6980dcc1fee5670e573354f1",32.7,21.8,0,0
"6981128082d28d2191154253",45.78,8.72,0,0
"698119def2a23d22dac3df09",40.33,14.17,9.81,0
"698138565bd9d4728a0a2e04",45.78,8.72,0,0
"6981e24e62bb6fd0037109e5",49.05,5.45,0,0
"6981ec61b00cbb326f2382a2",38.15,13.08,14.17,0
"6982228b60e61107ddfc0bd3",38.15,10.9,11.99,0
"69822b89bfde15d117539990",43.6,10.9,0,0
"698242aea446c3fc40454a2d",30.52,23.98,0,0
"69824df3026e0eff3dec0d0b",51.23,3.27,10.9,0
"69824e53e214c63c2afb2c53",38.15,16.35,0,0
"698255186a52f393404e26f7",54.5,0,0,0
"69826a6954465a13b14b2786",54.5,0,0,0
"6982eb0cb5743c2857d1c8e0",54.5,0,0,0
"698351788833bcdaa3c391ce",54.5,0,0,0
"6983518f181a5c0bd8d4742c",37.06,17.44,0,0
