,sbj_ID,Age,Gender,Education,L1,L2,L3,L4,otherLs,task,AoAL1,AoAL2,AoEaseL1,AoEaseL2,yearsEduL1,yearsEduL2,yearsCountryL1,yearsCountryL2,yearsFamilyL1,yearsFamilyL2,yearsWorkL1,yearsWorkL2,PercFriendsL1,PercFriendsL2,PercFamilyL1,PercFamilyL2,PercWorkL1,PercWorkL2,PercSelfL1,PercSelfL2,PercCountL1,PercCountL2,ProfSpeakL1,ProfSpeakL2,ProfUnderstandL1,ProfUnderstandL2,ProfReadL1,ProfReadL2,AttentionL1,AttentionL2,ProfWriteL1,ProfWriteL2,AttSelfL1,AttSelfL2,AttCultureL1,AttCultureL2,AttNativeLevelL1,AttNativeLevelL2,AttMothertongueL1,AttMothertongueL2,HistoryL1Score,HistoryL2Score,HistoryL3Score,HistoryL4Score,UseL1Score,UseL2Score,UseL3Score,UseL4Score,ProficiencyL1Score,ProficiencyL2Score,ProficiencyL3Score,ProficiencyL4Score,AttitudeL1Score,AttitudeL2Score,AttitudeL3Score,AttitudeL4Score,L1Score,L2Score,L3Score,L4Score,AoAL3,AoEaseL3,yearsEduL3,yearsCountryL3,yearsFamilyL3,yearsWorkL3,PercFriendsL3,PercFamilyL3,PercWorkL3,PercSelfL3,PercCountL3,ProfSpeakL3,ProfUnderstandL3,ProfReadL3,AttentionL3,ProfWriteL3,AttSelfL3,AttCultureL3,AttNativeLevelL3,AttMothertongueL3,AoAL4,AoEaseL4,yearsEduL4,yearsCountryL4,yearsFamilyL4,yearsWorkL4,PercFriendsL4,PercFamilyL4,PercWorkL4,PercSelfL4,PercCountL4,ProfSpeakL4,ProfUnderstandL4,ProfReadL4,AttentionL4,ProfWriteL4,AttSelfL4,AttCultureL4,AttNativeLevelL4,AttMothertongueL4
0,5f316280965ec564c886f978,21,Man,HighSchool,Polish,English,German,Spanish,Nope,BLP,20,14.0,20,20.0,10,8.0,20,0.0,20,20.0,20,20.0,8,2,10,0,7,3,9,1,10,0,6,6.0,6,6.0,6,6.0,true,true,6,6.0,6,6.0,6,6.0,6,6.0,6,6.0,49.940000000000005,37.228,10.442,2.724,47.96,6.540000000000001,10.9,0.0,54.480000000000004,54.480000000000004,43.13,24.97,54.480000000000004,54.480000000000004,2.27,6.8100000000000005,206.86,152.728,66.742,34.504,8.0,4.0,6.0,0.0,0.0,5.0,0,0,0,0,0,3.0,4.0,6.0,true,6.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,2.0,3.0,2.0,true,4.0,3.0,0.0,0.0,0.0
0,5f35782429beab53ef93cc2d,24,Man,College,ITALIAN,ENGLISH,N/A,N/A,N/A,BLP,19,19.0,20,20.0,20,20.0,20,1.0,20,20.0,20,1.0,6,4,5,5,7,3,5,5,5,5,6,6.0,6,6.0,6,6.0,true,true,6,6.0,6,6.0,6,5.0,6,6.0,6,6.0,54.026,36.774,0.0,0.0,30.520000000000003,23.98,0.0,0.0,54.480000000000004,54.480000000000004,0.0,0.0,54.480000000000004,52.21,0.0,0.0,193.50600000000003,167.44400000000002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5f3d119b77d8ba0009a79558,21,Woman,MinusCollege,Polish,English,n/a,n/a,no,BLP,20,10.0,13,4.0,13,11.0,20,0.0,20,0.0,0,0.0,10,0,10,0,6,4,9,1,9,1,6,5.0,6,5.0,6,5.0,true,true,6,5.0,6,5.0,6,4.0,6,5.0,6,6.0,39.044000000000004,11.35,0.0,0.0,47.96,6.540000000000001,0.0,0.0,54.480000000000004,45.4,0.0,0.0,54.480000000000004,45.4,0.0,0.0,195.964,108.69,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5f5a5d4618746310515e2828,22,Man,HighSchool,English,Urdu,Arabic,Spanish,n/a,BLP,20,8.0,20,2.0,11,6.0,20,0.0,20,0.0,20,0.0,10,0,10,0,10,0,10,0,10,0,6,5.0,6,6.0,6,6.0,true,true,6,6.0,6,0.0,6,4.0,6,0.0,6,0.0,50.394,7.264,1.816,5.448,54.50000000000001,0.0,10.9,0.0,54.480000000000004,52.21,40.86,40.86,54.480000000000004,9.08,0.0,0.0,213.85400000000004,68.554,53.576,46.308,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.0,4.0,5.0,true,6.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.0,4.0,5.0,true,6.0,0.0,0.0,0.0,0.0
0,5f8af153e27f001bcc23ffc4,22,Woman,PlusCollege,polish,english,german,n/a,no,BLP,20,13.0,20,3.0,10,7.0,20,0.0,20,0.0,20,0.0,9,1,10,0,10,0,9,1,10,0,6,4.0,6,5.0,6,6.0,true,true,6,4.0,6,4.0,3,3.0,3,3.0,3,3.0,49.940000000000005,10.442,4.54,0.0,52.32000000000001,2.18,10.9,0.0,54.480000000000004,43.13,11.35,0.0,34.05,29.51,20.43,0.0,190.79000000000002,85.262,47.22,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,2.0,true,1.0,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
0,5f9c2359530d3e067a300bd6,22,Woman,College,Portuguese,English,Spanish,n/a,No,BLP,20,14.0,20,8.0,12,9.0,20,0.0,20,0.0,20,1.0,9,1,10,0,8,1,8,2,8,2,6,4.0,6,5.0,6,5.0,true,true,6,3.0,6,5.0,6,4.0,6,6.0,6,5.0,50.848,14.528,4.086,0.0,46.870000000000005,6.540000000000001,11.99,0.0,54.480000000000004,38.59,24.97,0.0,54.480000000000004,45.4,36.32,0.0,206.678,105.05799999999999,77.366,0.0,4.0,2.0,2.0,0.0,0.0,1.0,0,0,1,0,0,2.0,4.0,3.0,true,2.0,3.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,
0,5faacca24cd0384c1fa08be1,24,Man,HighSchool,polish,english,n/a,n/a,n/a,BLP,20,13.0,20,1.0,13,0.0,20,0.0,20,0.0,0,0.0,9,1,10,0,9,1,9,1,9,1,6,4.0,6,4.0,6,4.0,true,true,6,4.0,6,3.0,6,3.0,6,3.0,6,4.0,42.222,6.356,0.0,0.0,50.14,4.36,0.0,0.0,54.480000000000004,36.32,0.0,0.0,54.480000000000004,29.51,0.0,0.0,201.322,76.546,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5fade36bdde8092117469a42,23,Man,Masters,Portuguese,English,Spanish,n/a,No,BLP,20,15.0,15,8.0,17,9.0,20,20.0,20,14.0,20,0.0,9,1,9,1,9,1,8,1,9,1,6,6.0,6,6.0,6,5.0,true,true,6,5.0,6,4.0,6,3.0,6,6.0,6,4.0,50.848,29.964000000000002,18.614,0.0,47.96,5.45,10.9,0.0,54.480000000000004,49.94,24.97,0.0,54.480000000000004,38.59,18.16,0.0,207.76800000000003,123.944,72.644,0.0,15.0,3.0,0.0,20.0,3.0,0.0,0,0,0,1,0,3.0,3.0,3.0,true,2.0,2.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,
0,5ffab69a57132749844b8020,23,Woman,College,Spanish,English,German,n/a,No,BLP,20,16.0,20,20.0,19,19.0,20,2.0,20,0.0,20,20.0,8,2,9,1,7,3,10,0,9,1,6,6.0,6,6.0,6,6.0,true,true,6,6.0,6,5.0,6,2.0,6,6.0,6,6.0,54.026,34.958,3.632,0.0,46.870000000000005,7.630000000000001,9.81,0.0,54.480000000000004,54.480000000000004,18.16,0.0,54.480000000000004,43.13,22.7,0.0,209.85600000000005,140.198,54.302,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0,0,0,0,0,2.0,2.0,3.0,true,1.0,1.0,0.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,
0,5ffd4230d96f6b2649d31f72,22,Woman,PlusCollege,IsiZulu,English,n/a,n/a,no,BLP,20,18.0,20,17.0,8,15.0,20,20.0,20,20.0,8,8.0,5,5,7,3,3,7,5,5,1,9,6,6.0,6,6.0,6,6.0,true,true,6,6.0,6,6.0,6,5.0,6,6.0,6,4.0,43.584,44.492000000000004,0.0,0.0,22.89,31.610000000000003,0.0,0.0,54.480000000000004,54.480000000000004,0.0,0.0,54.480000000000004,47.67,0.0,0.0,175.43400000000003,178.252,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
