"sbj_ID","L1Score","L2Score","L3Score","L4Score"
"5ba4da6f03692b00019adae6",206.59,0,0,0
"5ea2e2054687bd0517c23492",197.87,112.232,99.884,0
"60c0fa09ef735c52ada64d23",205.228,0,0,0
"60fa6f5d0c4ef9c26538f610",204.592,76.908,0,0
"60fa7628023c88195f68529c",210.222,0,0,0
"6124f23ea1f4ef44fe280dd4",210.856,77,0,0
"612e6bf6f0eba168c2a1dc35",197.234,141.288,52.214,0
"61353c933f32fef782432cc7",200.052,64.65,39.502,0
"659c0682d109f8537a89fdd3",199.324,79.452,0,0
"65b3c533a99b6a6b97a6f54a",195.69,106.694,0,0
"65fad6c874ac75642ffc254b",166.086,118.496,130.21,90.528
"65feaaac53eb219f09ad5ea0",202.68,119.86,88.172,0
"66019ce5f01f7f69af8016d1",209.768,101.696,72.19,38.136
"66446d88662725412dc27d06",144.918,149.646,170.534,64.922
"66676e9de30c99b6eaa0b5a3",214.398,111.14,73.098,0
"666b081591c316f46bbb3361",161.912,42.406,53.758,0
"669d0b18e3a1ae0b5f7571ef",176.438,159.996,0,0
"66b2acaa5fe9506f6cd278a8",204.316,124.036,65.38,4.54
"66c7469a4526d21d11ed0e15",206.59,0,0,0
"66ca0a6b19da058b82d8637d",171.354,127.852,0,0
"66ce4da62b4ca0e6ead754d6",209.22,93.618,0,0
"66cf143e060992b3d817c20f",182.794,150.73,145.644,164.17
"671a35e007e5342c31f94fa7",188.884,0,0,0
"67269f439696d166fbb74e09",208.86,0,0,0
"67270215b5ff7147c67afb89",210.492,76.456,0,0
"673c2ec22f554dedb25d4049",156.002,131.572,137.386,133.844
"673caf90069aa7e3820136cc",179.35,0,0,0
"67407b1fdd5d63e5b542d325",191.78,183.244,0,0
"67503701c4ef8958767a58d9",193.6,138.382,123.764,92.98
"677302ad15f7e3d0c1725fef",205.228,0,0,0
"68c00b0de12e311f71a427fd",198.23,130.848,73.462,0
"68c91cf657e369ac5e1a5663",172.172,121.586,0,0
"68d446bc9f28065a31881b5f",204.498,96.978,0,0
"690b6a1d98044838e462d048",182.7,102.7,81.454,0
"692e8f1540ec35b6b4bb0b51",211.128,98.066,0,0
"6931bc7a9286300ba24d7703",212.672,76.546,0,0
"6931ed877a6b11c2d99e317a",208.95,97.066,0,0
"6931edb6c25b0bfc7745d97b",196.14,103.062,91.078,0
"6932b8da8751dc6771770907",204.59,128.484,98.34,0
"6932c63c66408da96a982ab1",208.406,0,0,0
"6951d6fd93f50ed0e6363eba",197.052,103.334,64.744,29.964
"6972610c74d08456b2aa6ae2",187.516,138.566,64.926,58.022
"6977ae157abbca43d19d7ed2",211.492,85.898,0,0
"6978c41323acbe6260c25b6b",208.406,0,0,0
"697a79efb4f34a8176d66d2b",207.222,124.672,77.184,0
"697ae23c7ed5edbb062a80a3",209.13,100.518,0,0
"697af0b9a1262e67a280818f",209.584,110.506,0,0
"697b23f24e0252dfb327f950",202.138,117.588,113.868,61.29
"697babc50cd42f81edf45acc",197.05,114.684,114.596,0
"697bbefe70fe1cb006530f0f",196.234,92.984,0,0
"697ca949b8525fcd6448b5ab",204.134,142.832,89.17,65.83
"697ca9cfd08ef9e2ffd194c9",197.506,134.388,0,0
"697cab1603c68e76a4d71eb0",188.696,154.454,141.652,149.096
"697cabd6c4f2dee174cf2a1d",181.158,182.97,0,0
"697cac029fc2c2f5a6adbc65",187.244,132.846,0,0
"697caee42ccb58f80bd052aa",156.09,178.618,141.47,72.64
"697cb146afcfe842ae49bdd4",213.944,109.778,0,0
"697cb9bb801ddf0766cdaa70",198.048,175.614,0,0
"697cbe43c25ee72899c9c213",187.06,141.02,102.88,0
"697cc570d57156b29c34b70a",181.792,130.572,157.368,0
"697ccf682c513bd6ac96151f",171.896,155.912,0,0
"697cd69b8306e0d7e7ff4bfc",204.86,127.942,59.024,0
"697ce004a414418e49c8d32a",166.63,162.994,0,0
"697ce7bf0f53f5d87f619308",186.972,120.86,0,0
"697ce9513b3628db72070f23",173.8,133.848,44.95,28.24
"697ced4d80e2cdd6597570a4",203.138,123.308,0,0
"697cee693cacc7fc3ccaedb3",211.946,99.064,0,0
"697ceef83c5a1d1a0f21c6c1",189.15,140.928,0,0
"697d0af5cbf092790e5303e5",205.68,67.648,50.398,0
"697da4b448849212fa6532e6",165.176,168.896,96.522,0
"697f3920d3a9308de7557222",181.612,146.65,66.288,57.658
"698074189377637711d6ee4c",213.854,0,0,0
"6980756db82b3f6b672c2fea",207.77,56.024,0,0
"698077f69bf2b842579340fc",188.884,0,0,0
"698078075d3326e1b30bd1c3",198.412,157.09,0,0
"698078e0b930dfcbfde9d603",195.782,105.24,0,0
"69807d4738a6a1d1a2774e67",206.132,116.682,0,0
"69807e97ec7daf3eb0a4f256",194.78,157.27,86.084,9.08
"69807f12172ef48a2ac7edfa",191.146,131.664,121.042,46.4
"69808261911a7a9bd10cd048",200.592,165.806,0,0
"6980899c7847724b431b38ac",202.68,133.754,0,0
"698093a6ccef1114e376cfe5",132.216,155.912,71.642,0
"6980962a67c3b3ba8cb2836a",204.134,143.014,39.956,0
"69809b4956d7129d4b119b43",190.058,154.548,0,0
"69809e035896ef246cbc2922",172.256,141.838,108.33,0
"6980a4f0faef0e53cdfb97a7",207.04,87.26,127.58,0
"6980a7096eb2c15732813632",202.862,128.124,39.502,0
"6980b37761737090ad122e6f",200.866,111.96,0,0
"6980b64569f487effa4069a3",181.972,139.026,0,0
