"sbj_ID","task","testing_condition","trialn","item","expected","observed","correct","rt","strategy","yes_0M","yes_1M","yes_2M","score_2M","dprime","log_beta","c","Gender","Age","HistoryL1Score","HistoryL2Score","HistoryL3Score","HistoryL4Score","UseL1Score","UseL2Score","UseL3Score","UseL4Score","ProficiencyL1Score","ProficiencyL2Score","ProficiencyL3Score","ProficiencyL4Score","AttitudeL1Score","AttitudeL2Score","AttitudeL3Score","AttitudeL4Score","L1Score","L2Score","L3Score","L4Score","var","ent","use_ent","multiexp","L1_L2_diff","cossim","use_cossim","RC1_L4","RC3_L3","RC2_use_L1vsL2","RC7_hist_L2","RC9_use_L4","category","script"
"579e18fc4a84da00014c6f4f","testing","1M",1,"QLrOJMAB","within_lang","within_lang",TRUE,1043,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","1M",2,"ktBdDBkl","within_lang","within_lang",TRUE,757,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","0M",3,"KMDYtKMOc","between_lang","within_lang",FALSE,842,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","0M",4,"mUOcOuda","between_lang","within_lang",FALSE,888,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","1M",5,"AbKDbROC","within_lang","within_lang",TRUE,990,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","0M",6,"KAERMbmbN","between_lang","between_lang",TRUE,558,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","1M",7,"dCKcTmTm","within_lang","between_lang",FALSE,665,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","2M",8,"UAcduCKOb","between_lang","within_lang",FALSE,807,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","1M",9,"TbKMEOJlN","within_lang","within_lang",TRUE,960,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","1M",10,"EMbDPdmRb","within_lang","between_lang",FALSE,503,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","2M",11,"CmcOAOUl","between_lang","within_lang",FALSE,370,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","1M",12,"tcYbdmARM","within_lang","between_lang",FALSE,539,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","2M",13,"CmcOCKOb","within_lang","within_lang",TRUE,812,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","2M",14,"tcYbdEKBO","within_lang","within_lang",TRUE,2471,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","1M",15,"thbOMkmU","within_lang","within_lang",TRUE,339,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","1M",16,"cDOEBbAMO","within_lang","within_lang",TRUE,631,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","2M",17,"aYQmlGc","within_lang","between_lang",FALSE,759,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","0M",18,"cRElDAMkC","between_lang","between_lang",TRUE,618,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","2M",19,"cDOEBCKOb","within_lang","within_lang",TRUE,604,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
"579e18fc4a84da00014c6f4f","testing","2M",20,"LckGNcthB","between_lang","within_lang",FALSE,541,"didnt use a strategy",42.5,57.5,42.5,0.575,0.366,0.067,0.183,"Woman",23,54.48,0,0,0,54.5,0,0,0,54.48,0,0,0,54.48,0,0,0,217.94,0,0,0,11874.4609,0,0,217.94,217.94,1,1,-0.0969900247556341,-0.564038501522638,-0.450221275260868,-0.548515266693889,-0.167060903084908,"mono","same"
