,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt
0,60c0fa09ef735c52ada64d23,familiarity,9,DOFTB,HUVWU,0,0,True,1094.0
0,60c0fa09ef735c52ada64d23,familiarity,10,WOFH,PGOL,1,1,True,1424.0
0,60c0fa09ef735c52ada64d23,familiarity,11,JKGD,TUXE,0,1,False,1319.0
0,60c0fa09ef735c52ada64d23,familiarity,12,KUQVM,KSBZJ,1,1,True,1687.0
0,60c0fa09ef735c52ada64d23,familiarity,13,RVLEL,PGNXD,0,0,True,1151.0
0,60c0fa09ef735c52ada64d23,familiarity,14,QRBJ,ILGF,1,0,False,1751.0
0,60c0fa09ef735c52ada64d23,familiarity,15,XFSV,NRGJ,1,0,False,1345.0
0,60c0fa09ef735c52ada64d23,familiarity,16,OWJB,BLZE,0,0,True,1043.0
0,60c0fa09ef735c52ada64d23,familiarity,17,LOVB,WZHG,1,1,True,859.0
0,60c0fa09ef735c52ada64d23,familiarity,18,TGPV,BWVF,1,1,True,1973.0
0,60c0fa09ef735c52ada64d23,familiarity,19,KMSK,GRYL,0,0,True,1735.0
0,60c0fa09ef735c52ada64d23,familiarity,20,RWUK,MYZN,1,1,True,1641.0
0,60c0fa09ef735c52ada64d23,familiarity,21,XWUBM,EKCYG,1,1,True,1165.0
0,60c0fa09ef735c52ada64d23,familiarity,22,XTYQ,CYFT,0,0,True,910.0
0,60c0fa09ef735c52ada64d23,familiarity,23,TPK,QHS,0,0,True,1615.0
0,60c0fa09ef735c52ada64d23,familiarity,24,YAHE,OHRG,1,0,False,1024.0
0,60c0fa09ef735c52ada64d23,familiarity,25,FQD,AFN,1,1,True,1586.0
0,60c0fa09ef735c52ada64d23,familiarity,26,HNCXA,WZUYT,1,0,False,1260.0
0,60c0fa09ef735c52ada64d23,familiarity,27,NKMT,SHSP,1,1,True,1250.0
0,60c0fa09ef735c52ada64d23,familiarity,28,CPJS,IOVF,1,1,True,1397.0
0,60c0fa09ef735c52ada64d23,familiarity,29,BNPNC,HECNW,1,1,True,1527.0
0,60c0fa09ef735c52ada64d23,familiarity,30,OXZKV,FIDMG,1,0,False,1630.0
0,60fa6f5d0c4ef9c26538f610,familiarity,1,JGFH,QTDV,1,1,True,1356.0
0,60fa6f5d0c4ef9c26538f610,familiarity,2,JVRU,EGWA,0,0,True,1693.0
0,60fa6f5d0c4ef9c26538f610,familiarity,3,UNYZC,JZUIE,0,0,True,1390.0
0,60fa6f5d0c4ef9c26538f610,familiarity,4,NRPO,SNUX,1,1,True,1361.0
0,60fa6f5d0c4ef9c26538f610,familiarity,5,BGI,HDC,1,0,False,1052.0
0,60fa6f5d0c4ef9c26538f610,familiarity,6,ZUKXO,KZLHI,0,0,True,1144.0
0,60fa6f5d0c4ef9c26538f610,familiarity,7,VBMT,AKUM,1,1,True,1071.0
0,60fa6f5d0c4ef9c26538f610,familiarity,8,HVFDA,PKCBH,1,1,True,1314.0
0,60fa6f5d0c4ef9c26538f610,familiarity,9,NZGV,QRBJ,1,0,False,1295.0
0,60fa6f5d0c4ef9c26538f610,familiarity,10,ILIN,YNQY,1,1,True,905.0
0,60fa6f5d0c4ef9c26538f610,familiarity,11,CZPW,UABS,1,1,True,1388.0
0,60fa6f5d0c4ef9c26538f610,familiarity,12,QHJGW,BZSUR,0,0,True,1049.0
0,60fa6f5d0c4ef9c26538f610,familiarity,13,ROFW,AOGK,0,0,True,806.0
0,60fa6f5d0c4ef9c26538f610,familiarity,14,CYT,AJH,1,0,False,1354.0
0,60fa6f5d0c4ef9c26538f610,familiarity,15,WFQNZ,LSZGA,0,0,True,1088.0
