,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt
0,579e18fc4a84da00014c6f4f,familiarity,1,CmcO,OCmk,0,1,False,5314.0
0,579e18fc4a84da00014c6f4f,familiarity,2,aYQm,YZUZ,1,1,True,645.0
0,579e18fc4a84da00014c6f4f,familiarity,3,lGc,PED,1,0,False,384.0
0,579e18fc4a84da00014c6f4f,familiarity,4,AbKD,vclY,1,1,True,549.0
0,579e18fc4a84da00014c6f4f,familiarity,5,dmZvm,QbkAc,1,1,True,591.0
0,579e18fc4a84da00014c6f4f,familiarity,6,UAcdu,Cchtd,0,0,True,339.0
0,579e18fc4a84da00014c6f4f,familiarity,7,thbOM,DOBhY,1,0,False,316.0
0,579e18fc4a84da00014c6f4f,familiarity,8,AOUl,uauO,1,1,True,294.0
0,579e18fc4a84da00014c6f4f,familiarity,9,tcYbd,mkmJN,0,1,False,433.0
0,579e18fc4a84da00014c6f4f,familiarity,10,ZNLOv,LNUrJ,1,0,False,443.0
0,579e18fc4a84da00014c6f4f,familiarity,11,ldAa,Ydud,1,0,False,412.0
0,579e18fc4a84da00014c6f4f,familiarity,12,lvk,vcb,1,1,True,449.0
0,579e18fc4a84da00014c6f4f,familiarity,13,cDOEB,YuaNd,0,1,False,382.0
0,579e18fc4a84da00014c6f4f,familiarity,14,Qclad,AZlLN,1,1,True,567.0
0,579e18fc4a84da00014c6f4f,familiarity,15,EKBO,JAaG,1,1,True,510.0
0,579e18fc4a84da00014c6f4f,familiarity,16,laYmr,lAOKM,1,1,True,466.0
0,579e18fc4a84da00014c6f4f,familiarity,17,kPOt,ukYZ,0,0,True,440.0
0,579e18fc4a84da00014c6f4f,familiarity,18,YNrAm,RkmdC,0,0,True,572.0
0,579e18fc4a84da00014c6f4f,familiarity,19,EMbDP,QcQAJ,1,0,False,262.0
0,579e18fc4a84da00014c6f4f,familiarity,20,OJlN,MCkm,1,1,True,395.0
0,579e18fc4a84da00014c6f4f,familiarity,21,kKE,PTl,1,0,False,439.0
0,579e18fc4a84da00014c6f4f,familiarity,22,cthB,dTAh,1,0,False,590.0
0,579e18fc4a84da00014c6f4f,familiarity,23,LckGN,cdKBY,0,0,True,287.0
0,579e18fc4a84da00014c6f4f,familiarity,24,ktBd,KEdl,0,0,True,339.0
0,579e18fc4a84da00014c6f4f,familiarity,25,YArG,uvaU,0,0,True,345.0
0,579e18fc4a84da00014c6f4f,familiarity,26,CKOb,PEtE,0,0,True,307.0
0,579e18fc4a84da00014c6f4f,familiarity,27,kPkRA,ABPRB,1,1,True,338.0
0,579e18fc4a84da00014c6f4f,familiarity,28,RtRh,blMk,1,1,True,326.0
0,579e18fc4a84da00014c6f4f,familiarity,29,QLrOJ,mZUrQ,0,0,True,329.0
0,579e18fc4a84da00014c6f4f,familiarity,30,TmTm,mKcD,0,1,False,301.0
0,5b6aa4aa0d748b0001fb5260,familiarity,1,hmKPM,Phktk,0,0,True,3902.0
0,5b6aa4aa0d748b0001fb5260,familiarity,2,JrGv,AOUl,1,0,False,1698.0
0,5b6aa4aa0d748b0001fb5260,familiarity,3,DlDT,Ckbd,1,1,True,1494.0
0,5b6aa4aa0d748b0001fb5260,familiarity,4,TEBK,dCKc,1,1,True,1918.0
0,5b6aa4aa0d748b0001fb5260,familiarity,5,dGLAl,dmZvm,0,1,False,2137.0
0,5b6aa4aa0d748b0001fb5260,familiarity,6,bRC,dPc,0,0,True,1561.0
0,5b6aa4aa0d748b0001fb5260,familiarity,7,YZJO,hbkd,1,1,True,1446.0
0,5b6aa4aa0d748b0001fb5260,familiarity,8,TdmA,bcOR,0,0,True,838.0
0,5b6aa4aa0d748b0001fb5260,familiarity,9,ckduA,GNAca,1,1,True,1582.0
0,5b6aa4aa0d748b0001fb5260,familiarity,10,laYmr,DOBhY,0,1,False,1502.0
0,5b6aa4aa0d748b0001fb5260,familiarity,11,vmuLl,EtMDM,1,0,False,1697.0
0,5b6aa4aa0d748b0001fb5260,familiarity,12,NmAG,UmNJ,0,0,True,1396.0
0,5b6aa4aa0d748b0001fb5260,familiarity,13,EcR,cUN,1,1,True,1341.0
0,5b6aa4aa0d748b0001fb5260,familiarity,14,tmAK,CMdP,1,0,False,1502.0
0,5b6aa4aa0d748b0001fb5260,familiarity,15,AlTd,badk,1,0,False,1839.0
0,5b6aa4aa0d748b0001fb5260,familiarity,16,KMDYt,JdOAY,0,1,False,1223.0
0,5b6aa4aa0d748b0001fb5260,familiarity,17,YQbc,YlYc,1,0,False,2366.0
0,5b6aa4aa0d748b0001fb5260,familiarity,18,rvOvU,aNYmb,1,1,True,1410.0
0,5b6aa4aa0d748b0001fb5260,familiarity,19,KElB,TDKh,0,1,False,1329.0
0,5b6aa4aa0d748b0001fb5260,familiarity,20,YaOk,bAdk,0,1,False,1404.0
0,5b6aa4aa0d748b0001fb5260,familiarity,21,Yaum,UdvY,1,1,True,2262.0
0,5b6aa4aa0d748b0001fb5260,familiarity,22,hAROK,ZNLOv,1,1,True,0.0
0,5b6aa4aa0d748b0001fb5260,familiarity,23,Amacl,NAacQ,0,0,True,1676.0
0,5b6aa4aa0d748b0001fb5260,familiarity,24,Yadr,ldAa,1,1,True,1718.0
0,5b6aa4aa0d748b0001fb5260,familiarity,25,DOk,PMd,1,0,False,1990.0
