"sbj_ID","strategy"
"5ba4da6f03692b00019adae6","try to find familiar first 3 letters "
"5ea2e2054687bd0517c23492","Decorated some 3 letter sequences"
"60c0fa09ef735c52ada64d23","some combination of characters like ""lov"" appeared a fair number of times"
"60fa6f5d0c4ef9c26538f610","tried to remember the words"
"60fa7628023c88195f68529c","I tried to remember the first 4 letters"
"6124f23ea1f4ef44fe280dd4","I just used my instinct "
"612e6bf6f0eba168c2a1dc35","I tried just to use my memory based on the first letters of the words"
"61353c933f32fef782432cc7","I mostly focused on the last three words as I thought they were generally more readable and reliable, sometimes not"
"659c0682d109f8537a89fdd3","Didnt use any"
"65b3c533a99b6a6b97a6f54a","i memorize some patterns from the rirst group of alien words"
"65fad6c874ac75642ffc254b","I just remembered the previous words "
"65feaaac53eb219f09ad5ea0","Mastering the firts few letters of the words"
"66019ce5f01f7f69af8016d1","trying to decorate the begining of the words"
"66446d88662725412dc27d06","trying to keep track of the first and last letter"
"66676e9de30c99b6eaa0b5a3","Remember the first letter"
"666b081591c316f46bbb3361","I thought about the fact that when I was shown words they were in particular amount of letters "
"669d0b18e3a1ae0b5f7571ef","A mix of intuition and me memorizing the end of some words"
"66b2acaa5fe9506f6cd278a8","See the first letters"
"66c7469a4526d21d11ed0e15","starting letters/their length"
"66ca0a6b19da058b82d8637d","looked for similar syllables from the first task given"
"66ce4da62b4ca0e6ead754d6","i was using the reading the first 2 words and identify if it was in the previous one"
"66cf143e060992b3d817c20f","i tried remebering the first 3 letters"
"671a35e007e5342c31f94fa7","JUST GUESSED"
"67269f439696d166fbb74e09","I tried to note the first four letters of the words"
"67270215b5ff7147c67afb89","I had connected the words from the first aliens to actual words because the ''seemed the same in a way'' so I tried to recognise these words. I hope it helps"
"673c2ec22f554dedb25d4049","none"
"673caf90069aa7e3820136cc","None"
"67407b1fdd5d63e5b542d325","words that i saw before and similar once"
"67503701c4ef8958767a58d9","been focused"
"677302ad15f7e3d0c1725fef","certain phrases"
"68c00b0de12e311f71a427fd","memorised first 4 letters of each word"
"68c91cf657e369ac5e1a5663","Observing the First letter"
"68d446bc9f28065a31881b5f","words with q and x with mostly in first group and i used my memory"
"690b6a1d98044838e462d048","Being fimilliar with the first group I was introducted to, words lenght, beginning of the words, some letters weren't used in the first group"
"692e8f1540ec35b6b4bb0b51","I just remember few words, some of them im not sure. But I think the 1st set of aliens used more consonants together, never 2 vowels in a row"
"6931bc7a9286300ba24d7703","similarity to the first blocks."
"6931ed877a6b11c2d99e317a","i tried to remember the initials of the words and the similarity of the pattern of the letters"
"6931edb6c25b0bfc7745d97b","la memoria"
"6932b8da8751dc6771770907","Focusing on the first or last three letters (CFD... OHR...)"
"6932c63c66408da96a982ab1","just tried to go based on what looked familiar, but it was tricky since all the words were random characters anyways"
"6951d6fd93f50ed0e6363eba","I searched for syllables in words but later on I noticed some words had syllables that I remembered but were different"
"6972610c74d08456b2aa6ae2","I noticed there were group of letters who repeated themselves, like SHS, YCY, BZNO"
"6977ae157abbca43d19d7ed2","Looked for letters I often saw previously."
"6978c41323acbe6260c25b6b","I tried to recognise the first half of the word."
"697a79efb4f34a8176d66d2b","i tried to see if the patters alligned with the words that were shown to me"
"697ae23c7ed5edbb062a80a3","i tried remembering 3-4 letter parts i saw a lot of times at the blocks presented"
"697af0b9a1262e67a280818f","plain intuition, but I was suspecting of  slightly longer words with too many vowels that felt less random"
