"sbj_ID","L1Score","L2Score","L3Score","L4Score"
"5aa787c66219a30001c765f8",171.81,95.162,0,0
"5ae5db897edeb000014a85ee",190.876,111.508,0,0
"5b212164cfbf200001cfb3ad",199.958,132.39,0,0
"5b213220809d160001a2c36d",171.902,119.586,65.834,52.21
"5bcd11401662020001fe82c1",195.872,113.776,0,0
"5c19254b0b9f6b00014769ee",196.962,123.128,0,0
"5c1bfabab0fcc900019d9ff4",203.226,129.122,54.756,0
"5caccaed2f93d700157b4782",195.872,108.782,39.048,0
"5cbe02ab39447e0001745a5e",217.94,59.928,0,0
"5cefe8856e0eec00015971dd",204.316,117.59,0,0
"5d9a125f1714540016a40a27",203.318,126.578,94.164,0
"5dab6e7d80e1780016d5bc9b",187.79,122.312,15.894,0
"5dcb33ab0550ef819f508abf",196.416,130.484,0,0
"5e12048c7605fe8839180a14",208.13,133.752,54.03,9.534
"5e283f8ad48ecf000ddd0724",197.052,126.942,56.936,0
"5e2c6968e97bec29709a53c6",182.888,117.226,0,0
"5e3ff59bf2160b23942ada93",187.158,78.452,0,0
"5e42b6421f44d3143440b25c",186.248,97.976,0,0
"5e42f03607b468000d8eb912",165.626,145.838,21.612,0
"5e433ed3393e971e19f4735d",190.24,121.224,0,0
"5e577e79ce30ae13226e61ae",191.238,109.784,30.876,0
"5e6d3324f14d262fced5bbfe",179.072,130.122,65.198,0
"5e87b28549538b0fdf96b318",197.324,126.216,40.5,38.318
"5e89e89bf025be000c01eead",199.778,113.502,0,0
"5e8c57d9b4483e012006e7aa",205.588,125.034,119.496,49.94
"5e8e55509422bb10abed1f54",194.42,104.602,108.058,0
"5e9bd025eb6b380e1d66d04c",193.24,112.14,45.132,0
"5ea171c1a8782801263e7540",198.958,137.566,85.81,62.562
"5ea9611edec14d052ada0bae",195.69,109.598,72.282,47.852
"5ea9cd383b32cf15448a86ac",211.492,85.444,0,0
"5eaae42f19a24d05cbd6ccb4",189.966,123.768,108.51,86.714
"5eaf1c50f3540c614eb973a5",194.964,114.23,0,0
"5eb35dff41a381156be161c2",214.762,83.536,44.95,0
"5eb71c59c55b3b0ce571ae7c",130.484,183.702,92.348,0
"5ebc0c153f8b2e04d3833423",211.128,114.41,0,0
"5ec12ed7a66dbf01c7d740c1",215.67,89.438,37.232,0
"5ec1c01a8ccaaa5ec0080c91",206.95,126.306,96.252,0
"5ec6d06c67b0da0fb6f85e83",207.858,112.504,51.034,28.602
"5ecbb4c00bc62403dae2df59",209.22,130.846,67.196,0
"5ecd21dec04cca02c9032485",206.588,81.722,0,0
"5ed013f88fce6e0d858b732e",204.498,110.144,0,0
"5ee623674afa60375e30eec3",189.6,146.832,61.292,51.756
"5ee83da8817af0000d47448f",197.144,102.516,0,0
"5ee942381a22491bbb7170f8",209.402,107.056,0,0
"5eef3de3fb4e031bf546d887",204.772,108.78,61.022,0
"5efd2964d36f63162f263795",204.316,126.216,0,0
"5f0471a92ec97b6d1aec7739",175.802,136.57,0,0
"5f09d989eff16b266fba44c0",195.782,110.506,91.348,55.842
"5f0d65ef2ad0c60009209f0f",214.58,87.804,0,0
"5f0f93938935de000855898b",204.046,116.498,38.594,0
"5f11c9f84078cd0888177499",195.236,116.682,0,0
"5f18a80367ef6b0bbc5f3720",162.906,144.018,29.786,0
"5f19fa0f3e85b20d0336258c",206.224,93.89,58.57,0
"5f1e8dc7e2161c86cdcd220a",183.246,170.258,94.89,0
"5f219602670e5a0af2cf5237",208.858,118.496,63.564,59.928
"5f33289c1fe9181376ee67d9",138.57,166.262,133.66,76.454
"5f33c58329beab1f63c0dfaa",210.856,101.97,35.87,0
"5f350f459bf003464a03ea5e",201.504,123.58,0,0
"5f47e34858dd331165bf9f00",182.342,131.392,0,0
"5f5a713d37f71112463ab4d9",193.238,116.864,0,0
"5f5e7de4c81d3672642cd612",188.606,97.434,0,0
"5f6cd5ce1758e90f12ae1123",209.586,95.068,111.234,0
"5f708f5f0d32bb66960d4473",162.722,163.27,37.504,0
"5f784f5b98f4963cdf902340",198.502,103.608,47.22,20.884
"5f7bd801486f5e1ce581980f",204.77,132.662,119.316,26.332
"5f858743256d25036d9fa693",203.592,126.032,0,0
"5f91dc284909fe0b08f9e2e1",202.68,135.116,16.348,0
"5f99cee5a2a7d109a1624e10",203.498,120.224,0,0
"5fa4258658811d03fbc6ce8b",166.27,137.294,104.606,78.996
"5fa4725a186c050edc3bcc20",211.038,81.812,0,0
"5fa5793490f10705755818c0",205.588,73.188,0,0
"5fa59d4d5a29c90da975efe9",209.766,129.846,64.018,0
"5fc2d2d79da439201ab6addc",207.042,96.704,70.374,0
"5fc44d83862e3e79b02e0438",188.698,112.868,57.572,0
"5fc781689771f106330abf6a",200.776,123.854,0,0
"5fd2416e5061f30735e202e9",215.034,120.492,71.736,0
"5fd69a0014c3b25ee539f66b",208.494,103.694,96.978,65.376
"5fd9c5c67fa7c74ec42bb318",178.618,100.43,80.362,56.75
"5fdbf74c5474cd11e39eeaf3",213.49,130.026,88.806,9.988
"5fe2308a91773957e88b89be",207.678,82.72,0,0
"600e0dadada7da69afc5b3de",213.308,105.874,40.864,0
"600f0f9c3bfcdc077c924e51",166.536,136.846,88.44,0
"60123adc24c9f126819861b6",202.68,96.978,70.738,0
"601705a0246e51313e8ed38e",211.402,99.608,50.398,0
"601951245f481e000980504f",144.378,171.172,0,0
"601b5c79e845ac360826c9df",209.402,75.276,0,0
"601ffb441dc6d959b855eea5",208.95,75.364,58.116,0
"602bb123612bfe330818d4ef",209.676,97.702,80.362,69.008
"6042a56575ab0c1ccffc3152",209.13,125.488,75.368,29.964
"60491025dd8eb31e48a0ca8d",196.6,87.17,0,0
"60536ffae4f98513b671f482",199.326,0,0,0
"605aa0bb5fb71bbcf0808892",212.128,91.89,95.526,0
"60645fe61129208791535d15",152.372,141.386,0,0
"6065d7d47409810344f7e6bb",162.178,108.512,81.09,0
"60664619eac28843177fee96",195.508,113.05,64.2,0
"60670ac0fc7e169231369ab1",176.352,116.498,0,0
"606dc21c1ce7dc64af9d81fb",201.14,74.004,0,0
"6074768dc48e0753011d3d72",199.774,147.646,106.876,0
"607ea5504e74d104da5a108a",188.61,91.982,0,0
"60883a7e91c0be66dbb96fc8",199.232,102.334,114.048,29.056
"608858869a591bd129fbbc6c",200.686,106.238,0,0
"608c2e566d92c2aa3543e2d2",202.412,97.248,0,0
"608c64e14968cdd8dcbe1be4",216.85,56.932,0,0
"6092e2aac56871319199b6a5",152.374,111.42,0,0
"6093cacf9a39751eedd55916",194.96,140.562,134.21,0
"60957b300f08087b0af0031c",209.22,102.878,110.69,87.986
"60a3fe2d888e7a090d6d8f82",190.058,169.53,0,0
"60a68725b2b424dc0d7ce793",199.048,124.674,0,0
"60b7b8126c0c4524e913236e",151.37,169.628,0,0
"60bbe0da43325dadf2b1b6a9",187.42,140.842,6.54,0
"60c49e68081928c86ba7b98a",176.352,72.46,0,0
"60d478e72e8251287b641b2d",212.49,102.606,0,0
"60d7605d7af8d66774061717",197.87,108.69,0,0
"60db4aed5dd7b87124f51341",211.946,144.464,0,0
"60dee3200c7c3355c62326d9",213.126,115.68,86.446,0
"60e12640be1b69b66053d55b",190.876,139.928,99.158,15.436
"60e3b18d3d4205b4c52ada56",166.72,178.7,64.288,50.848
"60e9ea97d19e613e60a994da",176.806,87.804,97.978,73.276
