"sbj_ID","UseL1Score","UseL2Score","UseL3Score","UseL4Score"
"5aa787c66219a30001c765f8",44.69,9.81,0,0
"5ae5db897edeb000014a85ee",39.24,15.26,0,0
"5b212164cfbf200001cfb3ad",44.69,9.81,0,0
"5b213220809d160001a2c36d",47.96,6.54,10.9,0
"5bcd11401662020001fe82c1",44.69,9.81,0,0
"5c19254b0b9f6b00014769ee",45.78,8.72,0,0
"5c1bfabab0fcc900019d9ff4",42.51,11.99,9.81,0
"5caccaed2f93d700157b4782",44.69,9.81,10.9,0
"5cbe02ab39447e0001745a5e",54.5,0,0,0
"5cefe8856e0eec00015971dd",43.6,10.9,0,0
"5d9a125f1714540016a40a27",45.78,7.63,11.99,0
"5dab6e7d80e1780016d5bc9b",42.51,11.99,10.9,0
"5dcb33ab0550ef819f508abf",42.51,11.99,0,0
"5e12048c7605fe8839180a14",44.69,9.81,10.9,0
"5e283f8ad48ecf000ddd0724",43.6,9.81,11.99,0
"5e2c6968e97bec29709a53c6",45.78,8.72,0,0
"5e3ff59bf2160b23942ada93",52.32,2.18,0,0
"5e42b6421f44d3143440b25c",46.87,7.63,0,0
"5e42f03607b468000d8eb912",18.53,35.97,4.36,0
"5e433ed3393e971e19f4735d",38.15,16.35,0,0
"5e577e79ce30ae13226e61ae",35.97,18.53,10.9,0
"5e6d3324f14d262fced5bbfe",39.24,15.26,9.81,0
"5e87b28549538b0fdf96b318",42.51,10.9,8.72,1.09
"5e89e89bf025be000c01eead",49.05,5.45,0,0
"5e8c57d9b4483e012006e7aa",45.78,6.54,8.72,0
"5e8e55509422bb10abed1f54",46.87,1.09,16.35,0
"5e9bd025eb6b380e1d66d04c",47.96,5.45,11.99,0
"5ea171c1a8782801263e7540",41.42,10.9,10.9,2.18
"5ea9611edec14d052ada0bae",43.6,6.54,14.17,1.09
"5ea9cd383b32cf15448a86ac",51.23,3.27,0,0
"5eaae42f19a24d05cbd6ccb4",33.79,20.71,10.9,0
"5eaf1c50f3540c614eb973a5",44.69,9.81,0,0
"5eb35dff41a381156be161c2",54.5,0,10.9,0
"5eb71c59c55b3b0ce571ae7c",11.99,37.06,11.99,0
"5ebc0c153f8b2e04d3833423",49.05,5.45,0,0
"5ec12ed7a66dbf01c7d740c1",54.5,0,10.9,0
"5ec1c01a8ccaaa5ec0080c91",45.78,8.72,10.9,0
"5ec6d06c67b0da0fb6f85e83",45.78,7.63,11.99,0
"5ecbb4c00bc62403dae2df59",45.78,8.72,10.9,0
"5ecd21dec04cca02c9032485",49.05,5.45,0,0
"5ed013f88fce6e0d858b732e",44.69,9.81,0,0
"5ee623674afa60375e30eec3",26.16,22.89,5.45,0
"5ee83da8817af0000d47448f",46.87,7.63,0,0
"5ee942381a22491bbb7170f8",46.87,7.63,0,0
"5eef3de3fb4e031bf546d887",49.05,4.36,11.99,0
"5efd2964d36f63162f263795",43.6,10.9,0,0
"5f0471a92ec97b6d1aec7739",35.97,18.53,0,0
"5f09d989eff16b266fba44c0",46.87,6.54,8.72,0
"5f0d65ef2ad0c60009209f0f",53.41,1.09,0,0
"5f0f93938935de000855898b",50.14,4.36,10.9,0
"5f11c9f84078cd0888177499",43.6,10.9,0,0
"5f18a80367ef6b0bbc5f3720",29.43,25.07,9.81,0
"5f19fa0f3e85b20d0336258c",46.87,7.63,10.9,0
"5f1e8dc7e2161c86cdcd220a",31.61,21.8,10.9,0
"5f219602670e5a0af2cf5237",49.05,5.45,10.9,0
"5f33289c1fe9181376ee67d9",25.07,19.62,6.54,1.09
"5f33c58329beab1f63c0dfaa",50.14,4.36,10.9,0
"5f350f459bf003464a03ea5e",51.23,3.27,0,0
"5f47e34858dd331165bf9f00",42.51,11.99,0,0
"5f5a713d37f71112463ab4d9",42.51,11.99,0,0
"5f5e7de4c81d3672642cd612",39.24,15.26,0,0
"5f6cd5ce1758e90f12ae1123",53.41,1.09,10.9,0
"5f708f5f0d32bb66960d4473",22.89,31.61,9.81,0
"5f784f5b98f4963cdf902340",35.97,14.17,10.9,0
"5f7bd801486f5e1ce581980f",43.6,8.72,13.08,0
"5f858743256d25036d9fa693",50.14,4.36,0,0
"5f91dc284909fe0b08f9e2e1",39.24,15.26,10.9,0
"5f99cee5a2a7d109a1624e10",41.42,13.08,0,0
"5fa4258658811d03fbc6ce8b",41.42,11.99,11.99,0
"5fa4725a186c050edc3bcc20",51.23,3.27,0,0
"5fa5793490f10705755818c0",45.78,8.72,0,0
"5fa59d4d5a29c90da975efe9",49.05,5.45,10.9,0
"5fc2d2d79da439201ab6addc",49.05,5.45,10.9,0
"5fc44d83862e3e79b02e0438",42.51,9.81,13.08,0
"5fc781689771f106330abf6a",46.87,7.63,0,0
"5fd2416e5061f30735e202e9",53.41,1.09,10.9,0
"5fd69a0014c3b25ee539f66b",46.87,1.09,9.81,0
"5fd9c5c67fa7c74ec42bb318",39.24,14.17,10.9,0
"5fdbf74c5474cd11e39eeaf3",52.32,1.09,9.81,0
"5fe2308a91773957e88b89be",50.14,3.27,0,0
"600e0dadada7da69afc5b3de",51.23,3.27,10.9,0
"600f0f9c3bfcdc077c924e51",23.98,28.34,2.18,0
"60123adc24c9f126819861b6",39.24,9.81,13.08,0
"601705a0246e51313e8ed38e",53.41,1.09,10.9,0
"601951245f481e000980504f",16.35,38.15,0,0
"601b5c79e845ac360826c9df",46.87,7.63,0,0
"601ffb441dc6d959b855eea5",52.32,0,10.9,0
"602bb123612bfe330818d4ef",51.23,3.27,10.9,0
"6042a56575ab0c1ccffc3152",47.96,6.54,10.9,0
"60491025dd8eb31e48a0ca8d",49.05,5.45,0,0
"60536ffae4f98513b671f482",54.5,0,0,0
"605aa0bb5fb71bbcf0808892",52.32,1.09,11.99,0
"60645fe61129208791535d15",26.16,28.34,0,0
"6065d7d47409810344f7e6bb",25.07,16.35,15.26,0
"60664619eac28843177fee96",42.51,10.9,11.99,0
"60670ac0fc7e169231369ab1",50.14,4.36,0,0
"606dc21c1ce7dc64af9d81fb",49.05,5.45,0,0
"6074768dc48e0753011d3d72",38.15,14.17,11.99,0
"607ea5504e74d104da5a108a",50.14,4.36,0,0
"60883a7e91c0be66dbb96fc8",45.78,6.54,8.72,0
"608858869a591bd129fbbc6c",49.05,5.45,0,0
"608c2e566d92c2aa3543e2d2",51.23,3.27,0,0
"608c64e14968cdd8dcbe1be4",53.41,1.09,0,0
"6092e2aac56871319199b6a5",31.61,22.89,0,0
"6093cacf9a39751eedd55916",33.79,9.81,20.71,0
"60957b300f08087b0af0031c",45.78,4.36,13.08,2.18
"60a3fe2d888e7a090d6d8f82",37.06,17.44,0,0
"60a68725b2b424dc0d7ce793",39.24,15.26,0,0
"60b7b8126c0c4524e913236e",17.44,37.06,0,0
"60bbe0da43325dadf2b1b6a9",23.98,30.52,6.54,0
"60c49e68081928c86ba7b98a",50.14,4.36,0,0
"60d478e72e8251287b641b2d",49.05,5.45,0,0
"60d7605d7af8d66774061717",45.78,6.54,0,0
"60db4aed5dd7b87124f51341",51.23,3.27,0,0
