sbjID,trialn,word,condition,response,RT
17,1,dYdAYbN,1,yes,193.54
17,2,JuamlBCAd,1,no,79.62
17,3,AbkaYmb,0,no,99.78
17,4,tKDmhBCAd,0,yes,99.74
17,5,kcOYvJQ,1,no,158.94
17,6,ZdlOdTAh,1,no,104.32
17,7,tmYhcYUv,1,no,41.27
17,8,EdBbRdCc,0,yes,67.62
17,9,AdDbTRkY,0,no,70.88
17,10,advYOdTAh,1,yes,61.39
17,11,PDPhlRdCc,0,yes,82.21
17,12,YZJmvJQ,0,yes,78.97
17,13,lRckArba,1,no,80.6
17,14,advYOcYUv,0,no,112.67
17,15,kcOYBCAd,0,no,53.27
17,16,UdumdRdCc,1,yes,55.74
17,17,AdDbYbN,1,no,40.53
17,18,bdUNuTRkY,1,yes,59.73
17,19,tmYhdTAh,0,yes,67.87
17,20,YJkbTRkY,1,yes,78.97
17,21,ZdlOcYUv,0,no,64.41
17,22,bdUNuYbN,0,yes,74.35
17,23,dYdATRkY,0,no,66.31
17,24,KRARmrba,1,yes,64.56
17,25,mrOdtcB,1,yes,64.55
17,26,YZJmBCAd,1,yes,56.64
17,27,mrOdrba,0,yes,99.84
17,28,JuamlvJQ,0,yes,74.16
17,29,EdBbYmb,1,no,62.67
17,30,ObOQltcB,1,yes,61.49
17,31,McMDdTAh,0,no,53.38
17,32,ObOQlrba,0,yes,53.45
17,33,AbkaRdCc,1,no,69.52
17,34,lRckAtcB,0,yes,58.3
17,35,PDPhlYmb,1,yes,64.57
17,36,KRARmtcB,0,yes,75.9
17,37,tKDmhvJQ,1,no,77.45
17,38,YJkbYbN,0,yes,80.74
17,39,McMDcYUv,1,no,56.69
17,40,UdumdYmb,0,yes,50.21
