sbjID,trialn,target,confound,target_side,response,RT
17,1,dTAh,AlUY,right,target,82.64
17,2,vJQ,Ald,right,confound,88.79
17,3,TRkY,Mlth,right,target,110.35
17,4,bdUNu,rvOvU,right,target,91.12
17,5,BCAd,muYN,left,target,88.13
17,6,cYUv,YcdO,left,confound,104.09
17,7,EdBb,uauO,left,confound,104.03
17,8,Abka,dkLl,right,target,89.6
17,9,ObOQl,Amacl,right,target,92.97
17,10,KRARm,lAOKM,right,confound,110.48
17,11,RdCc,hRKm,left,target,104.17
17,12,tmYh,lkAk,left,target,97.78
17,13,mrOd,YObA,left,confound,78.58
17,14,Udumd,CRdBd,right,target,67.36
17,15,lRckA,uQuZc,left,target,73.66
17,16,kcOY,DCmh,left,confound,100.91
17,17,AdDb,MKmY,left,target,92.95
17,18,dYdA,JmNk,left,confound,68.9
17,19,advYO,cROMt,right,confound,81.69
17,20,PDPhl,YuaNd,right,confound,76.88
17,21,YbN,EAO,right,confound,101.01
17,22,YJkb,aYaN,right,confound,88.23
17,23,Ymb,mhc,right,target,99.17
17,24,tcB,YNu,left,target,96.27
17,25,McMD,hbmA,left,confound,102.53
17,26,rba,Arv,left,target,85.01
17,27,Juaml,ALOrl,left,target,78.51
17,28,tKDmh,QLrOJ,right,target,100.98
17,29,ZdlO,GAcY,right,target,76.76
17,30,YZJm,CYPc,right,confound,99.37
