sbjID,trialn,word,condition,response,RT
4,1,bGuObAMO,1,no,61.5
4,2,vkYGlOtM,1,yes,6.57
4,3,OAmAduda,1,no,8.31
4,4,YLQmGAkd,1,yes,4.03
4,5,bAdkBbM,0,yes,13.75
4,6,ZvalvkYL,0,yes,12.7
4,7,cdKBYAkd,0,no,1.07
4,8,JdOAYbAMO,1,yes,9.94
4,9,OYuvbmkc,0,yes,12.1
4,10,lBlEukbY,1,yes,10.39
4,11,YLQmGkYL,0,no,6.18
4,12,DlDdbAMO,0,yes,3.83
4,13,bAdkQGb,1,no,14.83
4,14,tRdMuda,1,yes,8.26
4,15,dKDthtRb,0,no,7.66
4,16,CRdBdBbM,0,no,24.07
4,17,OYuvbtRb,1,no,18.64
4,18,lBlEbAMO,0,no,12.46
4,19,DlDdukbY,1,no,27.58
4,20,OcYMmkc,1,no,21.88
4,21,advYOBbM,1,no,10.11
4,22,dKDthmkc,1,no,9.5
4,23,AYkEhkYL,1,no,10.27
4,24,JAaGOtM,1,no,11.2
4,25,ZvalvAkd,1,yes,2.5
4,26,JdOAYukbY,0,no,12.72
4,27,rvAJQGb,0,yes,0.48
4,28,OcYMtRb,0,no,16.63
4,29,cdKBYkYL,1,no,17.64
4,30,tRdMOtM,0,yes,15.05
4,31,advYOQGb,0,no,0.94
4,32,OZkbtRb,1,yes,10.52
4,33,AYkEhAkd,0,no,6.86
4,34,rvAJBbM,1,yes,5.94
4,35,vkYGluda,0,yes,13.87
4,36,OAmAdOtM,0,no,12.09
4,37,CRdBdQGb,1,yes,16.42
4,38,OZkbmkc,0,no,5.54
4,39,bGuOukbY,0,yes,7.3
4,40,JAaGuda,0,no,9.85
