sbjID,trialn,target,confound,target_side,response,RT
20,1,rkra,NkUA,left,confound,2634.79
20,2,TPCb,ArQu,left,target,3075.75
20,3,lYrua,cROMt,right,confound,2317.65
20,4,lTmO,mdkK,left,confound,3247.04
20,5,kPkRA,PCPDh,right,target,1902.53
20,6,Arv,uZc,right,confound,1952.67
20,7,dKDth,RkmdC,right,target,2241.66
20,8,damYb,lCbcm,left,target,1936.28
20,9,OcYM,OdYP,left,target,1906.45
20,10,udkm,vAvb,right,target,2097.41
20,11,DbMR,JUNa,left,confound,2383.46
20,12,dCKc,COTK,right,confound,2001.86
20,13,DcPTc,dGLAl,left,target,1679.15
20,14,TEBK,uUmb,left,target,1840.32
20,15,UrOQ,tRPD,left,confound,2993.99
20,16,YOZN,GUOA,left,target,2209.56
20,17,dOYml,kRCkO,left,target,2033.4
20,18,LcO,JcL,left,target,1970.9
20,19,Tmc,rGl,left,target,2929.13
20,20,Qclad,btlck,right,target,2433.57
20,21,kYL,NUZ,left,confound,2642.09
20,22,YZUZ,EMYK,right,target,1441.58
20,23,BbM,mZb,right,target,2881.85
20,24,ctkt,Abka,left,target,1297.85
20,25,NAacQ,mUOcO,right,confound,1744.21
20,26,BdtAC,kcCRt,right,confound,2849.13
20,27,ZdNmU,dmZvm,left,target,2898.19
20,28,advYO,hlbtb,right,target,1345.61
20,29,UvOG,muYN,left,target,2881.58
20,30,TPOM,aUZA,left,target,2593.95
