sbjID,trialn,word,condition,response,RT
15,1,LQurCdt,1,yes,3841.7
15,2,OmtlDGlu,1,yes,1693.2
15,3,mBYlOJNk,1,no,1733.3
15,4,auYAkmhc,1,yes,2564.5
15,5,kPkRAvJQ,1,no,2053.4
15,6,OAblcOdOP,1,no,5046.4
15,7,lkAkBCD,1,yes,1589.7
15,8,UdumdGlu,0,no,3670.5
15,9,LQurvJQ,0,yes,3237.9
15,10,aUZAuZc,0,no,2805.8
15,11,hlbtbCmYA,0,yes,2279.1
15,12,kcOYQONk,1,yes,3591.6
15,13,OAblcGlu,0,yes,2742.4
15,14,hbkdCdt,0,yes,1783.5
15,15,JNkaBCD,1,yes,1047.8
15,16,UdumdOdOP,1,no,3718.7
15,17,hChYOJNk,1,yes,2886.5
15,18,kPkRACdt,0,yes,1895.1
15,19,mBYlmhc,0,yes,2327.2
15,20,uQkrdCmYA,1,yes,2598.2
15,21,mrOdmhc,1,no,1879.3
15,22,aUZACmYA,1,yes,2646.6
15,23,cuOJbvJQ,0,yes,3607.2
15,24,lkAkQONk,0,yes,2471.6
15,25,hbkdvJQ,1,no,2390.9
15,26,CRdBdQONk,1,no,7318.9
15,27,OAmAdGlu,1,no,1927.7
15,28,cuOJbCdt,1,no,3974.7
15,29,hlbtbuZc,1,yes,2774.2
15,30,mrOdOJNk,0,no,2582.7
15,31,uQkrduZc,0,yes,1846.6
15,32,OAmAdOdOP,0,no,1253.6
15,33,auYAkOJNk,0,yes,2695.8
15,34,CRdBdBCD,0,yes,1270.8
15,35,kcdOtCmYA,0,no,1191.3
15,36,JNkaQONk,0,no,1047.6
15,37,OmtlDOdOP,0,yes,839.3
15,38,kcdOtuZc,1,yes,2727.2
15,39,hChYmhc,0,yes,839.6
15,40,kcOYBCD,0,yes,1254.3
