sbjID,trialn,word,condition,response,RT
5,1,CtmbDOAK,0,yes,86.99
5,2,ckdAmAZbl,1,no,0.64
5,3,mdkKYBO,0,yes,10.47
5,4,ukYZGUa,0,no,3.35
5,5,mdlaAZbl,0,yes,7.67
5,6,tRdMCPMl,0,yes,11.6
5,7,mZUrQDOAK,1,yes,15.88
5,8,vYLUYBO,1,no,6.6
5,9,UmNJrNlZ,0,yes,3.65
5,10,ukYZCPMl,1,yes,13.28
5,11,OQarQAOUl,0,no,0.44
5,12,lAOKMrAJu,1,yes,14.95
5,13,TKDkrNlZ,1,no,14.37
5,14,CtmbAOUl,1,yes,12.31
5,15,bvuZAdYl,1,no,3.17
5,16,PcBTCPMl,0,yes,6.68
5,17,EltMBDOAK,0,no,5.3
5,18,PcBTGUa,1,yes,4.82
5,19,mdlaYBO,1,yes,13.73
5,20,vYLUAZbl,0,no,12.5
5,21,lAOKMAdYl,0,yes,14.31
5,22,ckLALrAJu,0,no,3.89
5,23,CchtdAdYl,0,no,20.18
5,24,PCMPKrNlZ,1,no,21.13
5,25,bvuZrAJu,0,yes,19.69
5,26,tRdMGUa,1,yes,15.26
5,27,OQarQDOAK,1,no,1.16
5,28,ckdAmYBO,0,yes,9.86
5,29,kGlUOMC,1,yes,12.86
5,30,ZcGdNGUa,0,yes,14.24
5,31,TKDkOMC,0,no,2.19
5,32,CchtdrAJu,1,yes,10.44
5,33,ckLALAdYl,1,no,4.22
5,34,ZcGdNCPMl,1,no,13.95
5,35,mdkKAZbl,1,yes,12.0
5,36,EltMBAOUl,1,no,0.58
5,37,PCMPKOMC,0,yes,10.9
5,38,kGlUrNlZ,0,no,0.85
5,39,UmNJOMC,1,yes,10.71
5,40,mZUrQAOUl,0,no,14.5
