"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","response","stimulus","success","item","task","correct_response","testing_condition","correct","target","confound","name","view_history"
"html-keyboard-response","723","1617159","0.0-25.0-0.64","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","129","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">kabJbOkGY<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","kabJbOkGY","testing","k","[""morphemeXmorcode""]","true","","","",""
"html-keyboard-response","724","1617350","0.0-25.0-0.65","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","190","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">ObOQlJud<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","ObOQlJud","testing","k","[""morphemeXmorpheme""]","true","","","",""
"html-keyboard-response","725","1617529","0.0-25.0-0.66","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","177","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">YKRkLUOk<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","YKRkLUOk","testing","k","[""morcodeXmorpheme""]","true","","","",""
"html-keyboard-response","726","1617628","0.0-25.0-0.67","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","99","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">JdGmtAY<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","JdGmtAY","testing","k","[""morphemeXmorcode""]","false","","","",""
"html-keyboard-response","727","1617721","0.0-25.0-0.68","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","92","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">GrbkJcL<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","GrbkJcL","testing","d","[""morcodeXmorcode""]","false","","","",""
"html-keyboard-response","728","1618163","0.0-25.0-0.69","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","439","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">CkBOPYDTk<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","CkBOPYDTk","testing","k","[""morphemeXmorpheme""]","false","","","",""
"html-keyboard-response","729","1618424","0.0-25.0-0.70","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","260","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">COTKJud<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","COTKJud","testing","d","[""morphemeXmorpheme""]","false","","","",""
"html-keyboard-response","730","1618625","0.0-25.0-0.71","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","200","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">uAkrMhKd<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","uAkrMhKd","testing","d","[""morcodeXmorcode""]","false","","","",""
"html-keyboard-response","731","1618797","0.0-25.0-0.72","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","169","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">AZlLNOYK<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","AZlLNOYK","testing","d","[""morphemeXmorpheme""]","false","","","",""
"html-keyboard-response","732","1618917","0.0-25.0-0.73","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","119","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">kKRCBbM<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","kKRCBbM","testing","k","[""morphemeXmorcode""]","false","","","",""
"html-keyboard-response","733","1618997","0.0-25.0-0.74","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","78","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">KMOcTRK<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","KMOcTRK","testing","d","[""morcodeXmorcode""]","false","","","",""
"html-keyboard-response","734","1619137","0.0-25.0-0.75","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","139","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">ctktUJkG<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","ctktUJkG","testing","k","[""morphemeXmorcode""]","true","","","",""
"html-keyboard-response","735","1619479","0.0-25.0-0.76","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","340","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">OLJblkPM<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","OLJblkPM","testing","k","[""morphemeXmorcode""]","false","","","",""
