word,condition,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,participant_response.keys,participant_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
CmcODl,0,,,,,,,,,0,0,0,19,d,1.2214436999056488,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
aYQmJU,0,,,,,,,,,0,1,1,7,k,0.07727300003170967,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
TAdhMY,1,,,,,,,,,0,2,2,24,d,0.08632769994437695,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
hAROKY,1,,,,,,,,,0,3,3,25,k,0.03159040003083646,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
EhRmDl,0,,,,,,,,,0,4,4,10,d,0.0654086999129504,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
tmAKJU,1,,,,,,,,,0,5,5,23,k,0.010002200026065111,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
lCbcmY,0,,,,,,,,,0,6,6,12,d,0.08425650000572205,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
dJNrAP,1,,,,,,,,,0,7,7,31,k,0.09330189996398985,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
vAarkd,0,,,,,,,,,0,8,8,0,k,0.10066760005429387,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
EPERdB,0,,,,,,,,,0,9,9,17,k,0.09776040003634989,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
LckGNY,1,,,,,,,,,0,10,10,36,k,0.09975689998827875,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
tdDdAP,0,,,,,,,,,0,11,11,11,d,0.07937710010446608,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
QcladA,1,,,,,,,,,0,12,12,35,k,0.01170190004631877,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
EYtYRl,1,,,,,,,,,0,13,13,26,k,0.08843100001104176,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
LuNZBb,1,,,,,,,,,0,14,14,33,d,0.03632920002564788,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
mBYlYA,1,,,,,,,,,0,15,15,28,k,0.04131889995187521,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
LckGNl,0,,,,,,,,,0,16,16,6,k,0.09245959995314479,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
bmbNPE,1,,,,,,,,,0,17,17,34,k,0.0808470998890698,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
mBYlPE,0,,,,,,,,,0,18,18,18,d,0.05125460005365312,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
UAcduP,1,,,,,,,,,0,19,19,38,k,0.06311829993501306,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
tmAKBb,0,,,,,,,,,0,20,20,13,k,0.1234780999366194,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
EhRmkd,1,,,,,,,,,0,21,21,20,k,0.15629930002614856,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
tdDdYL,1,,,,,,,,,0,22,22,21,d,0.18147970014251769,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
lCbcml,1,,,,,,,,,0,23,23,22,k,0.17988119996152818,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
EYtYRY,0,,,,,,,,,0,24,24,16,k,0.1423235998954624,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
LOLkUD,1,,,,,,,,,0,25,25,39,d,0.08423999999649823,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
laYmrY,1,,,,,,,,,0,26,26,32,k,0.14263899996876717,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
TAdhMP,0,,,,,,,,,0,27,27,14,k,0.17018710006959736,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
LuNZJU,0,,,,,,,,,0,28,28,3,d,0.10708149988204241,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
EPERdJ,1,,,,,,,,,0,29,29,27,d,0.25432689976878464,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
laYmrl,0,,,,,,,,,0,30,30,2,d,0.19680139981210232,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
dJNrYL,0,,,,,,,,,0,31,31,1,d,0.2131707000080496,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
aYQmBb,1,,,,,,,,,0,32,32,37,k,0.041494600009173155,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
LOLkUk,0,,,,,,,,,0,33,33,9,k,0.1915598998311907,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
QcladY,0,,,,,,,,,0,34,34,5,d,0.08991530002094805,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
bmbNYA,0,,,,,,,,,0,35,35,4,k,0.051799000008031726,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
CmcOkd,1,,,,,,,,,0,36,36,29,d,0.10298950015567243,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
vAarDl,1,,,,,,,,,0,37,37,30,k,0.03460470004938543,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
hAROKA,0,,,,,,,,,0,38,38,15,k,0.17420289991423488,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
UAcduY,0,,,,,,,,,0,39,39,8,k,0.1628440001513809,603120,001,2023-03-09_11h46.52.031,PsychoPy Retry,2022.2.5,59.97900738307682,
