sbjID,trialn,word,condition,response,RT
22,1,aONdbRC,1,yes,4670.0
22,2,EhbtOJNk,1,no,1548.43
22,3,chAhDbMR,0,no,1972.49
22,4,CkBOPZckv,1,no,1267.6
22,5,DcPTcOMC,0,yes,1365.26
22,6,PcBTAOUl,1,yes,1573.95
22,7,ubALmOMC,1,no,1269.01
22,8,btlckbRC,0,yes,1558.22
22,9,aONdQvlZ,0,yes,1588.24
22,10,LdrbvKOYC,1,no,885.18
22,11,DlDdDbMR,0,yes,1078.0
22,12,UJkGAOUl,0,yes,1252.19
22,13,ArQubRC,1,no,1479.22
22,14,NaAQdKOYC,1,no,1430.13
22,15,ctktAOUl,1,yes,886.91
22,16,NvuGrDbMR,1,no,2374.44
22,17,chAhNmAG,1,no,1107.12
22,18,ubALmZckv,0,no,1179.51
22,19,YmBdbRC,0,yes,884.72
22,20,PcBTABb,0,no,709.16
22,21,YKRkOJNk,1,yes,756.12
22,22,laYmrZckv,0,yes,1365.69
22,23,UJkGABb,1,yes,1012.78
22,24,QcQAJAOUl,0,yes,1013.65
22,25,alJYNmAG,0,no,663.08
22,26,DcPTcZckv,1,yes,1830.2
22,27,LdrbvOJNk,0,yes,1079.09
22,28,NvuGrNmAG,0,no,2150.58
22,29,laYmrOMC,1,yes,1906.62
22,30,ArQuQvlZ,0,no,924.67
22,31,DlDdNmAG,1,yes,932.75
22,32,EhbtKOYC,0,no,1123.51
22,33,ctktABb,0,yes,772.62
22,34,NaAQdOJNk,0,no,1348.92
22,35,btlckQvlZ,1,no,998.32
22,36,YKRkKOYC,0,yes,1174.27
22,37,CkBOPOMC,0,no,1110.14
22,38,YmBdQvlZ,1,no,1190.19
22,39,QcQAJABb,1,no,1014.75
22,40,alJYDbMR,1,no,1542.48
