sbjID,trialn,word,condition,response,RT
7,1,OAmAdQru,1,yes,12.21
7,2,UvOGkMEC,1,no,6.53
7,3,BOckPTmc,0,yes,15.85
7,4,lTmOkMEC,0,no,8.71
7,5,ukYZEKBO,1,yes,2.54
7,6,lcOcmLJ,0,yes,11.99
7,7,ABPRBEKBO,0,no,0.43
7,8,dKRDkMEC,0,yes,7.74
7,9,vuJZuUbG,0,no,5.72
7,10,OAmAdCmYA,0,yes,4.73
7,11,mhtcUbG,1,no,1.83
7,12,MkmEdlGc,1,yes,3.48
7,13,LckGNkdrO,0,no,8.85
7,14,vclYlGc,0,yes,0.31
7,15,lTmOkdrO,1,yes,13.09
7,16,MkmEdEKBO,0,yes,6.95
7,17,YUNkZCmYA,1,no,7.43
7,18,BOckPUbG,1,yes,2.44
7,19,GLluAKOYC,1,no,11.45
7,20,dKRDkdrO,1,yes,0.61
7,21,vuJZuTmc,1,no,18.72
7,22,LdrbvCmYA,1,yes,11.39
7,23,tcYbdmLJ,1,no,4.08
7,24,UvOGkdrO,0,yes,5.4
7,25,CkBOPCmYA,0,no,5.07
7,26,vclYEKBO,1,yes,2.91
7,27,LdrbvQru,0,yes,10.84
7,28,tcYbdKOYC,0,yes,8.41
7,29,mARMmLJ,1,yes,16.2
7,30,vJabTmc,1,no,11.95
7,31,LckGNkMEC,1,yes,16.01
7,32,CkBOPQru,1,yes,12.79
7,33,vJabUbG,0,no,1.19
7,34,GLluAmLJ,0,yes,9.81
7,35,mARMKOYC,0,no,6.21
7,36,ABPRBlGc,1,yes,7.49
7,37,lcOcKOYC,1,no,7.67
7,38,mhtcTmc,0,yes,4.62
7,39,ukYZlGc,0,yes,11.48
7,40,YUNkZQru,0,yes,14.63
