sbjID,trialn,target,confound,target_side,response,RT
21,1,tKDmh,dTmED,right,target,3606.9
21,2,JAdLm,cBROB,left,target,1094.89
21,3,NaAQd,bdUNu,left,confound,1983.09
21,4,DOBhY,vkYGl,right,confound,1310.33
21,5,DOAK,GJZm,left,confound,1151.18
21,6,bAMO,rLaZ,right,confound,1935.81
21,7,kmU,OMC,right,confound,1183.95
21,8,EMYK,AlUY,right,target,1040.74
21,9,rcmuv,thbOM,right,confound,1248.72
21,10,Tmc,dRA,left,confound,1009.5
21,11,OdYP,hRKm,right,target,1072.08
21,12,UdvY,lkAk,right,target,1105.64
21,13,UYZlZ,hmKPM,right,target,944.93
21,14,Ckbd,AlNU,left,target,928.77
21,15,bGuO,OMlT,left,target,929.74
21,16,AYkEh,hTtBb,left,confound,1008.82
21,17,RDM,Qru,left,target,1138.11
21,18,kbu,lGc,right,target,1057.89
21,19,mdkK,OkGY,left,confound,850.29
21,20,ObOQl,LvuOG,right,confound,961.33
21,21,OYuvb,cRElD,left,target,785.9
21,22,dCtMA,bNdmG,left,confound,912.94
21,23,DMRP,APEM,left,target,1201.85
21,24,Ydud,mKcD,left,confound,1008.85
21,25,Ymb,Dmh,right,confound,1088.43
21,26,KAERM,Udumd,left,target,1665.21
21,27,kcdOt,LOLkU,right,confound,1008.4
21,28,NaJb,hCkt,left,target,1009.89
21,29,OAmGr,RYtkc,left,confound,1040.71
21,30,YUYa,kDOm,left,target,1233.26
