sbjID,trialn,target,confound,target_side,response,RT
16,1,uUY,tRb,left,target,527.45
16,2,mZUrQ,Qclad,right,confound,283.74
16,3,aONd,kJdr,right,confound,385.5
16,4,OtM,Nac,left,confound,297.66
16,5,UbG,DKP,left,confound,260.68
16,6,aNYmb,kcdOt,right,confound,284.92
16,7,EPERd,LOLkU,right,target,124.75
16,8,OJlN,dmkv,right,target,408.11
16,9,NLQGm,NvuGr,right,confound,298.68
16,10,LvuOG,ckLAL,left,target,183.9
16,11,JUNa,GJZm,left,target,382.48
16,12,bcbM,DMRP,right,confound,192.25
16,13,BRDh,AZbl,left,target,239.97
16,14,ckdAm,cROMt,left,confound,288.15
16,15,NAacQ,EMbDP,right,confound,795.43
16,16,kBD,Yht,right,confound,222.55
16,17,kKRC,DCmh,right,target,310.45
16,18,muYN,kPOt,right,target,694.57
16,19,KlkD,MhKd,left,confound,296.07
16,20,bRABt,JZOAk,left,target,385.74
16,21,bYGOZ,Cchtd,right,confound,438.61
16,22,kDRKc,kKEdM,right,confound,296.15
16,23,CkBOP,thbOM,left,target,228.91
16,24,RCcE,rkYL,right,target,201.76
16,25,kcOY,vYLU,right,target,235.24
16,26,TDKh,DBkl,right,confound,267.27
16,27,OkGY,UJkG,left,target,369.65
16,28,bNdmG,DcPTc,right,confound,704.14
16,29,vJQ,uvJ,left,target,691.28
16,30,Dmh,dRA,right,target,1027.43
